"","SID31004","SID31009","SID31021","SID31030","SID31071","SID31112","SID31129","SID31137","SID31159","SID31160","SID31188","SID31219","SID31223","SID31233","SID31236","SID31237","SID31256","SID31267","SID31275","SID31276","SID31282","SID31285","SID31300","SID31328","SID31333","SID31337","SID31343","SID31360","SID31367","SID31379","SID31398","SID31416","SID31424","SID31428","SID31431","SID31446","SID31449","SID31450","SID31452","SID31455","SID31477","SID31489","SID31493","SID31501","SID31512","SID31519","SID31537","SID31549","SID31557","SID31582","SID31637","SID31685","SID31700","SID31705","SID31711","SID31714","SID31723","SID31749","SID31750","SID31766","SID31865","SID31866","SID31868","SID31870","SID31871","SID31872","SID31873","SID31874","SID31875","SID31876","SID31877","SID31878","SID31879","SID31880","SID31881","SID31883","SID31884","SID530002","SID530018","SID530026","SID530028","SID530039","SID530041","SID530050","SID530052","SID530054","SID530055","SID530074","SID530075","SID530119","SID530142","SID530154","SID530163","SID530167","SID530168","SID530172","SID530177","SID530185","SID530215","SID530227","SID530251","SID530258","SID530262","SID530295","SID530297","SID530315","SID530323","SID530331","SID530348","SID530364","SID530368","SID530373","SID530394","SID530398","SID530403","SID530444","SID530450","SID530451","SID530558","SID530600","SID530623","SID530697","SID530705","SID530743","SID530756","SID530840","SID530867","SID530890","SID531128","SID531155","SID531248","SID531274","SID531277","SID531281","SID531333","SID531352","SID531361","SID531382","SID531403","SID531414","SID531416","SID531424","SID531469","SID531663","SID531766","SID531775","SID532305","SID532749","SID532779","SID532796","SID532802","SID532826","SID532832","SID532915"
"Rikenellaceae",0.11696,0.53314,2.08024,1.26368,0.19824,0,0.0094,0.24328,0.11797,0.03229,0.24388,0.69407,0.29847,0.06747,2.43145,0.16268,0,0.27288,0.1004,0.31698,0.63383,12.87396,4.04933,9.13775,1e-04,0,2.07146,5.86425,0.65047,0.28666,1.04926,0.13657,0.07084,0.00434,1.2324,1.63384,0.76915,0.23344,1.64977,1.00271,0.07091,0.86762,0.12699,0.17222,0.07193,0.97606,0.1662,0.09132,0,0.27806,0,0.61059,0.61793,0,0,0.00018,0.27155,0.81142,2.2615,0.15416,0.21806,2.1987,2.12941,0.02619,0.1332,2.18358,0.64357,15.70673,4.76664,10.23814,0.29093,16.03769,0.39249,4.96481,4.99115,1.28807,2.6267,0.08123,0,0.01172,4.1386,0,3.01897,1.43848,0.00871,2.65325,1.99975,0.04453,0.80991,1.9074,0.17841,0,0.00816,1.42408,2.9502,0.10196,0.10605,8.43257,0.13416,1.94648,0,0.35846,1.44607,0.0495,0.70073,0.23651,0.08125,2.60064,0.00218,3.77532,0.17439,4.84163,10.63618,0.07961,0,0.00604,3.96008,0.13026,8.46017,8.95388,5.56827,8.56896,9.83044,5.92339,2.03379,2.21628,11.21499,0.67109,4.83265,0.58311,2.64698,0.0596,10.77847,0.05173,0.8922,2.36363,1.23024,0.57644,0.01279,1.07751,3.29714,0,1.3222,6.58141,4.73601,1.50732,1.32996,1.36093,3.47338,15.09685,2.33142,0,2.20569,7.10812
"Tannerellaceae",0,0.939,0,0.28971,0.00687,0.03074,0,0.77193,0.45937,0.06568,0.4258,0.21728,0.32816,0.00401,0.19919,0.02137,0,0.0865,1.05333,0.34338,0.38516,0,0.18447,0.24315,0.10002,0,0.90435,0.24624,0.16666,0.33658,0.27356,0.06522,0.00098,0.97607,0.50598,5.66532,0.27106,1.51517,0.48812,0.11975,0.03315,0.03554,0.10555,0,0,0.21573,0.04118,0.34347,0.02223,0.00347,0,0.37717,0.20772,0,0,0,0.02798,0.69318,0.42067,0.01311,0.05687,1.1905,0.49795,0,0.05017,0.1703,0.76791,1.05224,1.01403,3.20159,6.92383,2.15958,0.2212,3.32243,2.41135,0.95855,1.17247,0.00587,0,0.05274,0.2534,0.01563,0.05444,2.21905,0.0076,0.09905,0.62646,0.03525,0.06614,0.10966,0.17516,0,0.00459,0.40673,0.86822,0.01532,0.02892,0.11257,0.17958,0,0,0.23026,0.29208,0.42862,0.05344,0.00942,0.00797,0.60577,0.00154,0.27419,0.1415,0,4.80931,0.01035,0.00802,0.00846,0.26076,0.18759,1.38996,1.0698,2.34621,0,0,0.92127,0,0.40735,1.50825,0.76393,3.03291,0.11708,0.4578,0.03289,1.75154,0.01615,0.08324,12.26991,0,6.80106,0.00438,0.19329,0.92778,0.01961,3.4125,1.75028,2.06867,0.21687,2.07257,1.6885,3.72307,2.2016,3.71157,0.13554,0.7553,1.84186
"Chlamydiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobacteriaceae",0,0.41979,0,0,0,0,0,0,0.01898,1.24964,0,0.33046,18.2077,0,0,0,0,0,0.8515,1.81116,0,0.00376,1.55288,0,0.61834,0,0,0,0.09187,0,0,0,0,0,1.02406,0.00097,0,0,0,0,0.03589,3.13592,0.03949,0,0,0.37588,0,2.95346,0,2.80051,0.00146,20.40278,2.50721,0,0,0,0,1.90472,0,0,0.0194,18.16472,0.93615,0.00521,0,0.00348,0.05806,0.27973,0,0,0.04904,0,2.15906,0.69475,0,0.01617,3.44612,0,0,0.77977,0.9581,0,12.35084,0,0,4.52731,1.69584,0,0.14605,0,0,0,0,0,0.01817,0,0,10.99006,1.87811,0,0,0,0,17.59442,1.92192,0,0.03237,0.58322,0.02464,0,0,8.71249,0,0.01924,0,0,1.02145,2.36198,0,5.55181,2.79129,0,0,0.01833,0,8.94125,0.25673,0.08427,4.46525,0.02426,0.05471,0.08882,0.20173,0,0.00458,4.29241,0.02069,0.66969,0,0,0,0,0,1.05562,0,0,0,0,0,0,1.00796,0,0,17.16474
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01287,0.02837,0,0,0.02787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03602,0,0,0,0.50951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0051,0,0,0.00438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00426,0,0,0,0,0,0,0,0,0,0,0.17998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01595,0,0,0.01966,0,0,0,0,0,0,0,0,0,0,0
"Aerococcaceae",0,0,0,0,0,0.00204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00863,5e-04,0,0,0,0,0,0,0,0.00637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnobacteriaceae",0.00155,0,0,0,0,0.00302,0,0,0,0,0,0,0,0,0,0,0.00178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071,0,0,0,0,0.00184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0.0013,0.00211,0,0,0,0,0,0,0,0,0.00104,0,0,0,0,0,0,0,0,0,0,0,0,0.00249,0,0,0,0,0,0,0,0.00204,0,0,0,0,0,0,0.00352,0,0.00173,0,0,0,0,0,0,9e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcaceae",0.0256,0.03323,0,0,0.01548,0.03857,0.00618,1.93976,0,0.00075,0,1.45401,0,0.00611,0,0,0,0,0,0,0,0.56267,0,0,0,4.66145,0.07488,0,1.67734,0.02441,0,0,0.00932,0,0,0.04748,0.00531,0.0224,0,0.04772,0.42256,0.02105,0.00936,0,0,0,0,0,0.1825,1.19821,0.37107,0,0,0,0.0105,1.85851,0,0,0.0193,0,0,0.1389,0.23464,1.32763,0,0,0,0,0,0.00309,0,0.01093,0,0,0,0.00439,0,0,0,0,0.08869,0,0,0.06381,0,0.00777,0,0.06714,0,0,0.00732,2.3295,0,0.01443,0.22117,0.05543,0.00058,0,0,0,1.41125,0,0,0,0.00752,0,0,0,0,0,0,0.05908,0,0.00149,0,0,0,1.11157,0,0.36115,0,0,0,0,0,1.06567,0,0.00837,0.41982,0,0,3.78857,0,0.26945,0.12942,0.74586,0,0.15939,0,0,0,0,0.00076,0,0,0.05349,0,0,0,0,0,0.0167,0,0.00579
"Lactobacillaceae",0.52262,5.04495,0.19092,0,0.24072,0.00983,0.33111,0,0.03169,0.05669,0.01369,0.01342,0.00118,0.24489,0.51584,0.15924,0,0.01867,0,0.03011,0,0,0.18604,0.42547,0.08793,0.1558,16.69462,0.06738,0.15967,0.33389,0.37257,0,0.00785,0.01542,0.11327,0.69614,0,0,0.03747,0.1968,0.16946,0.00401,0.001,0.12953,0.00992,0.00436,0.27742,0.03823,0.32486,4.27015,0.26918,0.03072,0.01473,42.79699,0.05635,0.00698,0.37336,0,0.03671,0.04443,0.05348,0.19494,1.00958,0.00582,0.00044,0.00537,0.02823,0.10523,0.21332,0.61461,0,0.01749,0.01809,0.20752,0.03146,0.02542,0.29968,0.04611,0.08335,0.063,0.01554,0,0.00467,0.64693,0,0.01571,0.00729,0.00496,2.18135,2.08761,0.20909,0.09267,19.16735,0.05832,0.02581,1.1829,0.0337,0,0,0,0.08039,0.06174,0,0.10412,0.49016,4.7464,0,0.08132,0.00594,0.00164,0.31411,0.14627,0.02262,0.01189,0,0.26421,0.23012,33.52663,0,0.00278,0.00836,0,0.18315,0.23807,0.12793,0.05301,0.31905,0,0.23612,0.16857,0.01979,0.54661,0.01601,1.64283,0.04417,0.02219,0.01015,0.01461,0.02951,0,0.026,0.87164,0.0509,0,0.0178,0.0122,0,0,0,0.00987,0,0.09301,0,0.09243
