"","SID31004","SID31009","SID31021","SID31030","SID31071","SID31112","SID31129","SID31137","SID31159","SID31160","SID31188","SID31219","SID31223","SID31233","SID31236","SID31237","SID31256","SID31267","SID31275","SID31276","SID31282","SID31285","SID31300","SID31328","SID31333","SID31337","SID31343","SID31360","SID31367","SID31379","SID31398","SID31416","SID31424","SID31428","SID31431","SID31446","SID31449","SID31450","SID31452","SID31455","SID31477","SID31489","SID31493","SID31501","SID31512","SID31519","SID31537","SID31549","SID31557","SID31582","SID31637","SID31685","SID31700","SID31705","SID31711","SID31714","SID31723","SID31749","SID31750","SID31766","SID31865","SID31866","SID31868","SID31870","SID31871","SID31872","SID31873","SID31874","SID31875","SID31876","SID31877","SID31878","SID31879","SID31880","SID31881","SID31883","SID31884","SID530002","SID530018","SID530026","SID530028","SID530039","SID530041","SID530050","SID530052","SID530054","SID530055","SID530074","SID530075","SID530119","SID530142","SID530154","SID530163","SID530167","SID530168","SID530172","SID530177","SID530185","SID530215","SID530227","SID530251","SID530258","SID530262","SID530295","SID530297","SID530315","SID530323","SID530331","SID530348","SID530364","SID530368","SID530373","SID530394","SID530398","SID530403","SID530444","SID530450","SID530451","SID530558","SID530600","SID530623","SID530697","SID530705","SID530743","SID530756","SID530840","SID530867","SID530890","SID531128","SID531155","SID531248","SID531274","SID531277","SID531281","SID531333","SID531352","SID531361","SID531382","SID531403","SID531414","SID531416","SID531424","SID531469","SID531663","SID531766","SID531775","SID532305","SID532749","SID532779","SID532796","SID532802","SID532826","SID532832","SID532915"
"Actinomycetaceae",0.11053,0.05886,0.01206,0.00027,0.17606,0.0814,0.06311,0.07457,0.06541,0,0.01143,0,0.05167,0.01103,0.00549,0.06856,0.44668,0.13856,0.0135,0,0.00822,0.00099,0.0074,0.0057,0.0239,0.25227,0.03734,0.1007,0.17832,0.40549,0.71428,0.02089,0.28449,0,0.02528,0.00535,0.10252,0.12774,0.03427,0,0.17403,0.05458,0.14831,0.07217,0.09181,0.0279,0.2072,0.0892,0.10629,0.58996,0.06658,0.0059,0.13057,0.21858,0.01803,0.05069,0.15835,0.14198,0.09461,0.06496,0.05192,0.01953,0.03975,0.13408,0.01023,0.00925,0.00796,0.025,0,0.04344,0.00329,0.02279,0.05386,0.19912,0.105,0.00794,0.0018,0.00404,0.02245,0.06317,0.0084,0.05179,0.00565,0.03575,0.07578,0.05431,0.04313,0.12254,0.02289,0.08571,0.0163,0.11321,0.29058,0.05124,0.02802,0.05975,0.06586,0.02626,0.06052,0.00126,0.0538,0.04624,0.18676,0.05958,0.054,0.08181,0.05016,0,0.60874,0.0147,0.03646,0.01023,0.00074,0.01859,0.16528,0.10714,0.19672,0.21511,0.00258,0.01346,0,0.02528,0.29959,0.01104,0.02498,0.01286,0.0107,0.01823,0.03307,0.05958,0.00699,0.02828,0.01573,0.02483,0.05387,0.01486,0.0047,0,0.00676,0.00213,0.01074,0.68076,0.03613,0,0.00287,0.01064,0,0,0,0.00054,0.0241,0.07851,0.00018,0
"Bifidobacteriaceae",4.26109,4.54855,11.29526,0.98138,16.38955,22.79513,25.6435,4.75764,34.55667,0.00157,0.14713,5.9666,5.39887,3.05524,12.70976,16.35503,17.42626,4.11245,0.00428,1.72653,0,0.00998,3.88054,2.21046,25.66484,0.24118,55.6523,7.09178,0.93412,7.42723,1.1772,7.91361,17.05542,0.00185,12.82841,0.1104,6.79759,0.17862,10.24903,10.35619,13.83634,5.73384,2.46306,0.04838,30.09222,1.74756,15.14645,5.23872,47.97111,15.55272,15.55309,5.11556,13.77591,0.10749,2.67259,49.38434,1.61148,15.47592,4.03837,0.05651,8.03595,0.42816,2.22445,27.69716,23.03096,23.57776,11.9353,5.06101,5.07451,6.69499,0.12923,1.02494,49.63255,1.63831,13.04073,0.85286,41.59526,5.35198,40.44475,46.55917,0.76281,0.02837,15.63985,3.77292,37.81117,54.38076,14.91265,63.79759,1.03622,44.77854,3.91578,30.60757,3.74093,1.72411,2.62412,2.28017,4.73495,0.00874,43.85751,1.9958,0.20431,14.20092,1.6434,19.58139,19.5451,15.57964,25.50227,3.77968,46.9188,14.00574,20.47346,7.90647,0,11.83331,4.56085,13.30395,17.04698,1.28659,2.26352,12.14085,6.16188,8.63568,0.17022,0.05383,0.00642,4.29866,0.73788,6.05018,18.83317,3.13639,0.91698,0.27492,3.00911,13.92603,0.20916,4.04581,0.02161,1.50727,0,11.90759,16.91472,3.20049,0.0165,1.67646,1.81378,0.00972,0.17832,13.64694,1.07788,4.37612,3.43854,7.66936,1.39036,13.70889
"Corynebacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079,0.0074,0.00253,0.0014,0,0,0,0,0,0,0,0,0,0,0,0.03193,0.01179,0,0.00944,0,0,0,0,0,0.00884,0,0.34122,0,0,0.01973,0.01195,0,0,0,0,0.002,0,0,0,0,0,0.00075,0,0.00169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00052,0,0.00115,0,0.00196,0,0.01552,0,0,0,0,0.00039,0,0,0,0,0.00615,0,0,0,0.00671,0,0,0,0,0.0043,0,0,0,0,0,0,0,0,0,0,0.00919,0,0,0,0,0.14078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00669
"Nocardiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00089,0,0,0,0,0,0,0,0,0,0,0.01358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brevibacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01275,0,0,0,0,0,0,0,0,0,0,0
"Micrococcaceae",0.12619,0.00863,0,0.00063,0.01249,0,0.00157,0,0.01304,0.00883,0,0.00151,0,0,0,0,0.0124,0.00929,0,0,0,0,0.03818,0.0794,0,0,0.01882,0,0.00439,0.11316,0.10211,0.00036,0.03927,0.01119,0.00579,0.02813,0.03205,0,0.02628,0.00735,7e-04,0,0.00718,0.0076,0.00074,0,0.00404,0.00025,0.03834,0.02251,0.05443,0,0.03188,0.11672,0.01695,0,0,0.03878,0,0,0,0,0.00144,0.0527,0,0.02223,0,0,0,0.01479,0,0,0,0.01749,0,0.00235,0,0,0,0,0.00047,0,0.0072,0.00375,0,0.01309,0,0.03561,0,0.00095,0,0.06781,0.31543,0.00431,0.00083,0,0.00793,0.03598,0.00177,0,0,0.05535,0.00287,0.00324,0.01049,0,0.00257,0,0.04112,0,0.00602,0,0,0,0.00248,0.01048,0,0.02989,0,0,0,0,0.02719,0.00714,0,0.00764,0.00177,0,0.00465,0.00438,0.00435,0.0267,0,0.03359,0,0,0,0.01064,0,0.00507,0,0.0046,0.01146,0,0.00514,0,0,0,0,0.00074,0,0.00133,0,0
"Propionibacteriaceae",0,0,0,0.06127,0,0,0.03278,0,0,0,0.15425,0,0,0.47002,0,0.04237,0.05006,0,0.01927,0,0,0,0,0,0,0.0032,0,0,0,0.03572,0,0,0,0,0.05309,0,0,0,0,0.06307,0.02272,0,0.00191,0.00677,0,0.57124,0.0217,0.00199,0.01525,0.00625,0,0,0,0,0.00019,0.00112,0,0.0125,3.5745,0.006,0,0,0,0,0.01667,0,0,0.00709,0,0,0,0,0.02141,0.22093,0.00204,0,0,0.18666,0.29178,0,0.11029,0.03885,0,0,0,0.00123,0,0,0,0.00755,0,0.00452,0.03484,0,0,0.00099,0,0,0,0,0,0,0,0.08497,0.00643,0,0.0017,0,0,0.23899,0.34505,0,0,0,0,0.96143,0.00091,0.02884,0,0,0,0,0.0063,0,0,0,0,0,0,0,0,0,0,0.11368,0,0,0,0,0,0,0,0,0,0.00026,0,8e-04,0,0,0.00042,0,0,0,0,0
"Atopobiaceae",0.00096,0.00061,0,0,0.02369,0.00114,0.00065,0.0019,0.01443,0.07269,0.02395,0,0.00436,0.00094,0.00019,0.01628,0.00452,0.00132,0.01656,0.00573,0.00139,0.00147,0.00301,0.00663,0.00235,0,0.00032,0.00079,0.00263,0.0086,0.01777,0,0.00269,0,0.57253,0.00407,0.02214,0.00218,0.03596,0.00111,0.06115,0.00516,0.00172,0.0031,0,0,0.00845,0.06835,0.00087,0.04268,0,0.00227,2e-04,0.00335,0,0.00145,0,0.0385,0.00208,0.00133,0.00061,0,0,0.00015,0.00109,0.00077,0.01198,0,0.00062,0.00209,0,0.00077,0.00633,0.89726,0.0296,0,0.00231,0.06104,0.00107,0.11637,0.00025,0,0.01032,0.00125,0.00092,0.00233,0.00112,0.04473,0.00096,0.001,0.02123,0.0243,0.01246,0,0.00532,0.00053,0,0,0,0,0,0.04734,0.01635,0.02695,0.00164,0.00141,0.11262,0,0.00855,0.00118,0.0019,0,0,0.00148,0.00495,0.0244,0.03409,0.01715,0,0.53029,0.00049,0,0.00548,0.00573,0.00348,0,0.07462,0.0023,0.03402,0,0.00627,0.02031,0.00038,0,0,0,0,0.02757,0,0,0,0.0048,0,0,0,0,0,0,0,0.00591,0.02193,0,0.00104,0.19067
"Coriobacteriaceae",4.60297,3.69662,2.68872,2.20674,7.96901,19.69794,29.4818,0.00468,9.93096,4.57047,3.3993,3.42316,3.23667,9.26176,5.48691,8.23503,12.65519,7.8597,4.06903,4.19337,17.76857,6.33027,1.87754,7.08178,7.30734,0.009,0.00298,6.88091,2.20343,3.81548,1.70309,1.43129,9.37759,0.00352,3.93434,0.63772,4.40961,23.07289,1.21301,10.76349,12.79842,8.09384,13.6993,0.00241,0.01358,1.86428,1.04594,9.29542,19.06744,13.43482,0.01417,9.16858,7.94569,1.24701,0.00544,7.45502,1.85677,9.60106,5.57611,0.00077,0.90496,0.09389,1.01549,7.70307,6.40863,7.95993,7.73459,0.8843,2.47175,1.52016,1.19158,1.84236,7.32234,0.3756,6.52658,0.06544,7.28007,0.84314,10.74621,14.0946,5.53138,8.15215,4.85787,5.62636,11.28887,2.61112,3.0005,0.01758,5.64269,9.32455,0.00368,0,7.72497,1.63335,0.00039,7.14518,0.00526,0.01015,8.60908,0.00241,0.00097,6.88102,21.27791,2.94061,5.11121,26.35372,12.49801,0.17645,19.62958,12.60615,12.62417,0,1.15343,5.04687,5.38019,18.21433,12.87571,2.94423,0,8.24639,1.79879,1.72058,0.00277,1.38759,2.14726,0.65483,2.55304,5.86424,7.23979,2.25066,0.61123,0.05245,4.61419,1.38809,0.02704,5.85367,0.46824,0.09716,0.00646,0.00527,0.1571,0.68083,0.01136,0.06821,0.93939,0.00324,0,7.47247,0.36509,0.85223,1.75087,0,4.39964,3.2489
"Eggerthellaceae",0.00263,1.03214,2.89309,0.69933,3.66686,4.52793,0.32191,3.85748,0.37352,3.32405,1.58019,2.2543,0.33725,2.62298,1.12402,1.00129,9.24225,1.09847,2.1328,0.56786,2.32229,0.59908,4.35011,1.52241,0.45656,0.46701,0.56713,4.56487,0.4929,2.36374,0.34491,4.91923,0.67751,0.96982,1.30598,0.47261,0.44086,4.21348,0.63317,1.18164,0.61875,2.92688,0.26779,3.95357,3.80265,2.02166,2.70245,4.81564,2.96861,3.20255,1.02895,2.17096,0.17061,2.18492,0.89855,1.16471,0.99894,2.02471,6.0128,5.80538,7.71158,2.53767,0.45477,2.13317,0.74245,4.05879,1.02168,0.07234,0.25733,0.21957,0.66916,1.92479,0.42784,0.54356,0.29761,0.53832,1.50417,2.89809,1.52059,1.30759,2.27016,4.03996,1.06725,0.89043,3.18211,3.08549,3.41779,1.87864,1.45694,2.21767,1.52274,0,3.41886,0.42997,2.6685,8.00378,5.7076,4.60928,1.63331,0.77456,3.97442,1.22363,2.12777,1.77969,2.15108,1.32571,0.78628,0.20429,2.60327,6.75291,15.58679,0.15752,0.92438,0.6039,1.26852,0.63784,5.05166,0.48933,2.83774,0.98211,1.1633,0.42577,1.51078,0.12722,0,0.48872,0.14517,0.33889,0.23474,1.42978,0.13495,0.0036,1.89012,0.23562,2.68315,2.56653,0.02229,0.45576,0,0.49938,2.39242,0,0.56536,0.53281,0.37117,3.16369,0.54418,0.61576,0.577,0.31914,1.58181,1.45549,1.10596,0.35748
"Debaryomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02082,0,0,0,0,0,0,0,0,0,0.02453,0,0,0,0,0,0,0,0,0,0,0,0
"Saccharomycetaceae",0,0,0,0,0,0.02362,0,0,0,0,0,0,0,0.00283,0.00173,0,0.00019,0,0,0,0,0,0,0,0.01101,0,0,0,0.00425,0,0,0,0.01061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00361,0,0,0,0.00037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00869,0,0,0,0,0,0.04495,0,0.00619,0,0,0,0,0,0.00304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03132,0,0.00149,0,0,0,0,0,0.0153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02448,0,0,0,0.00316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroidaceae",16.48339,6.14209,2.44592,6.47182,1.28087,0.91525,0.1022,0,0.71104,1.58603,5.51848,3.23899,1.63962,0.1798,4.02318,0.08842,0.33919,1.2285,24.1315,1.92933,3.88521,9.32833,6.81911,5.81482,0.964,0.57489,4.29172,11.55965,1.19091,4.10612,2.63868,0.23463,0.29804,0.00539,9.82452,28.57152,2.61844,14.44583,1.90535,5.08156,0.27439,0.94717,0.73537,3.67878,0.35683,4.64026,0.67356,1.80435,0.108,0.03323,0.04175,3.1557,2.4493,0.02549,0.00325,4e-04,1.64683,1.94162,3.09913,1.09867,1.34097,5.50585,7.04008,0.37267,0.48919,7.24083,4.84291,33.65057,5.9603,19.27952,36.69771,21.03875,1.73166,42.35701,8.79305,27.96459,6.88681,0.05076,0.004,0.17591,27.58073,0.04833,1.35934,16.42807,0.08777,3.07654,3.63981,0.25809,4.42401,1.4838,1.7826,0.0929,0.867,6.85504,5.45458,0.04853,0.74825,16.16036,1.04778,1.57499,0.05179,1.94499,2.44325,3.03012,2.47589,0.30172,0.12727,10.07769,0.02208,4.44543,0.98037,4.31213,16.92882,0.51101,0.02896,0.01395,1.54228,0.68019,8.42503,7.47082,12.72624,5.75796,23.34405,7.50185,39.6362,3.74257,21.30793,14.04784,9.446,2.01154,3.94811,0.48829,23.47078,1.07435,2.49615,14.33522,5.04254,58.88361,21.08373,10.91554,12.02222,90.74536,21.69325,21.85359,55.5446,1.95603,55.32758,6.85244,20.63542,16.71782,8.52888,1.12072,15.03118,18.59323
