"","CCMD11006829ST.21.0","CCMD12232071ST.21.0","CCMD13071240ST.21.0","CCMD13934959ST.21.0","CCMD14479708ST.21.0","CCMD18872694ST.21.0","CCMD19497912ST.21.0","CCMD23101338ST.21.0","CCMD25511638ST.21.0","CCMD25963797ST.21.0","CCMD26709089ST.21.0","CCMD26925580ST.21.0","CCMD34381688ST.21.0","CCMD35802077ST.21.0","CCMD40701343ST.21.0","CCMD42428553ST.21.0","CCMD45988061ST.21.0","CCMD46222674ST.21.0","CCMD46947453ST.21.0","CCMD48236717ST.21.0","CCMD50071957ST.21.0","CCMD51864103ST.21.0","CCMD60079086ST.21.0","CCMD63399960ST.21.0","CCMD64503764ST.21.0","CCMD64776337ST.21.0","CCMD72895164ST.21.0","CCMD74930188ST.21.0","CCMD79987997ST.21.0","CCMD82866709ST.21.0","CCMD86114146ST.21.0","CCMD86707194ST.21.0","CCMD87156761ST.21.0","CCMD88272491ST.21.0","CCMD90311071ST.21.0","CCMD93344354ST.21.0","CCMD95433940ST.21.0","CCMD96553385ST.21.0","MMPU29365221ST","MMPU68403337ST","MMPU72854103ST","MMPU84450604ST","MMPU99077057ST","CCMD10032470ST.11.0","CCMD10191450ST.11.0","CCMD15562448ST.11.0","CCMD17410933ST.11.0","CCMD18579000ST.11.0","CCMD18829815ST.11.0","CCMD19168690ST.11.0","CCMD21593359ST.11.0","CCMD21703880ST.11.0","CCMD22852639ST.11.0","CCMD23541216ST.11.0","CCMD25475945ST.11.0","CCMD26625622ST.11.0","CCMD27463710ST.11.0","CCMD27867141ST.11.0","CCMD28738636ST.11.0","CCMD29706695ST.11.0","CCMD30626189ST.11.0","CCMD30627121ST.11.0","CCMD31009081ST.11.0","CCMD31134579ST.11.0","CCMD32288175ST.11.0","CCMD32965613ST.11.0","CCMD35081859ST.11.0","CCMD35633353ST.11.0","CCMD35801800ST.11.0","CCMD37575804ST.11.0","CCMD38158721ST.11.0","CCMD39157124ST.11.0","CCMD39882286ST.11.0","CCMD41202658ST.11.0","CCMD41521570ST.11.0","CCMD42956136ST.11.0","CCMD45004878ST.11.0","CCMD45812507ST.11.0","CCMD46727384ST.11.0","CCMD49025643ST.11.0","CCMD49461418ST.11.0","CCMD49942357ST.11.0","CCMD50300306ST.11.0","CCMD50529145ST.11.0","CCMD50538120ST.11.0","CCMD51154251ST.11.0","CCMD51228890ST.11.0","CCMD52117727ST.11.0","CCMD52145360ST.11.0","CCMD53508245ST.11.0","CCMD53522274ST.11.0","CCMD54057834ST.11.0","CCMD56948710ST.11.0","CCMD59540613ST.11.0","CCMD59583015ST.11.0","CCMD65222621ST.11.0","CCMD65406197ST.11.0","CCMD66848156ST.11.0","CCMD67373733ST.11.0","CCMD68973846ST.11.0","CCMD71242853ST.11.0","CCMD71915439ST.11.0","CCMD72666896ST.11.0","CCMD72690923ST.11.0","CCMD73128545ST.11.0","CCMD74592084ST.11.0","CCMD75147712ST.11.0","CCMD76222476ST.11.0","CCMD76409700ST.11.0","CCMD79349503ST.11.0","CCMD85481373ST.11.0","CCMD85661207ST.11.0","CCMD89107682ST.11.0","CCMD89306485ST.11.0","CCMD89643949ST.11.0","CCMD89967135ST.11.0","CCMD92404903ST.11.0","CCMD93755960ST.11.0","CCMD95431029ST.11.0","CCMD95676152ST.11.0","CCMD98198513ST.11.0","CCMD98531134ST.11.0","CCMD98702133ST.11.0","CCMD99440714ST.11.0","CCMD99929634ST.11.0"
"Actinomycetales",0.02798,0,0.0452,0.11315,0,0.00017,0.04117,0.03496,0.00241,0,0,0,0,0.01113,0.00497,0.15943,0,0,0.00777,0.00688,0,0.00418,0.00674,0.00132,0,0.00804,0,0.07675,0.00852,0,0,0.00367,0.00732,0.04832,0.00502,0,0.00059,0.04395,0.00991,0.00493,0.0013,0.01396,0.00448,0.01462,0.00736,0.01137,0.01035,0.00262,0.00725,0.10637,0.48327,0.24835,0,0,0.00107,0,0.06838,0.00186,0,0.00661,0,0.00221,0.00332,0.01756,0,0.00071,0,0.03213,0.09541,0,0,0,0.00945,0,0,0.01015,0,0.00241,0,0.30815,0.01876,0.00063,0,0.0299,0.01298,0.0147,0.01807,0.03441,0.00204,0.21166,0,0,0.02343,0.50801,0.04657,0.01089,0.1548,0,0,0,0,0.03658,0,0.04446,0,0.01151,0.00337,0.04931,0.01316,0,0,0.0089,0.01091,0.2212,0,0.02472,0,0.01072,0.02442,0.01016,0.00043,0.00794,0.00389,0,0
"Bifidobacteriales",2.7741,4.0917,0.08411,1.0455,2.70364,1.15989,5.06607,0.77708,2.46405,0,1.31372,7.38696,0.01636,5.39682,0.01147,1.92605,4.3148,10.26188,5.23404,1.7724,4.40824,7.10072,0,2.03269,0.01591,0.30905,0.07293,1.29655,0.00132,4.71529,13.85195,1.88333,1.00824,0.02206,0.6346,0.99081,2.70808,0.01298,4.52269,6.67842,4.01991,17.58918,0,3.67179,19.31366,1.48061,6.41899,2.53686,0.33454,0,0.14961,2.52986,4.78513,0.00305,0.44584,1.16593,0.75636,4.30654,5.07175,1.45282,13.43812,0.0161,4.90625,0.22696,0.09849,0.17948,4.91837,3.75279,0.81589,12.34865,0.04883,2.56151,0.99356,0.17994,8.55814,3.57939,6.13569,0.72856,0,0.03862,3.21199,3.22243,0.74688,7.55411,10.49461,4.10844,31.4798,0.03764,0.01244,4.57334,0,0.35435,6.89044,3.56196,9.65001,4.8491,6.07591,5.90964,0.84424,0.84467,3.39352,3.80328,28.8496,2.3214,0,5.83747,0.00211,3.27381,6.99252,2.51701,1.24054,7.53467,20.43156,7.82717,0,10.25977,3.93923,2.77155,0.15579,19.60535,1.28049,9.17986,0.60139,2.99574,3.17986
"Corynebacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01598,0.95061,0,0,0,0,0.03047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01526,0,0.02785,0,0,0,0,0.01319,0,0,0,0,0.00565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcales",0,0,0,0,0,0.00922,0.00888,0.01914,0,0.00476,0,0,0,0.00064,0.00714,0.00029,0,0,0,0.00046,0,0.00758,0,0,0,0,0,0.01471,0,0,0.08463,0.00858,0.00048,0.00669,0.00059,0.00128,0.00056,0.0055,0,0.00644,5e-05,0.00031,0.01167,0,0.01834,0.05515,0.00363,0,0.00629,0.01208,0.00129,0,0.02439,0,0,0,0.04619,0.02228,0,0,0,0,0.03064,0,0,0,0,0.02841,0.00682,0.00482,0,0.00025,0.00365,0.01552,0.00355,0.02038,0,0.0039,0,0.00481,0,0,0,0,0,0.00455,0.00165,0.00982,0.04888,0,0.0036,0,0,0,0,0.00356,0,0,0,0,0,0,0,0.00752,0,0.01374,0,0.00232,0,0.01913,0,0,0.00847,0.0514,0.01339,0.01125,0,0.02823,0.00574,0.00039,0,0,0.00079,0.00692,0
"Propionibacteriales",0,0,0.0043,0,0,0,0.2316,0,0,0.01083,0,0,0,0,0,0,0,0,0,0,0.01152,0.01648,0,0,0,0,0,0,0.10634,0,0,0,0,0,0,0.00594,0,0,0,0,0,0.00217,0.03192,0,0,0,0,0,0,0,0,0,0.06674,0.00348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01281,0.04216,0,0.00554,0,0,0,0,0,0.01721,0,0,0,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01337,0.0066,0,0.00022,0,0,0,0,0,0,0,0
"Coriobacteriales",0.69274,0.55467,1.02333,0.54456,1.07247,0.50478,2.30507,0.87924,1.8829,1.42287,0,0.08315,0.87921,1.73695,0.00659,3.47849,1.72191,4.30296,1.41501,2.36422,0.32715,0,0.0699,0.28119,2.53545,0.0844,0.24825,0.48834,0,0.47157,1.85014,1.04098,0.22233,0.34573,1.85812,0.34884,0.81488,0.01249,5.54425,1.3409,0.19371,2.15838,1.03879,2.62207,2.37133,0.36058,1.64654,2.91542,0.17792,0,4.42389,4.68493,2.86703,0.32665,2.17786,0.10531,2.59424,0.71175,2.61784,0.4044,1.99261,0.24599,8.5021,0.43314,0.01219,0.01854,1.85005,0.61769,0.38342,1.16997,0.0032,0.3036,1.25237,0.51955,1.45522,3.44942,2.70544,1.91661,1.06889,16.17787,6.01148,1.35856,0.93554,3.6294,0,7.15162,2.60178,0.00089,1.10972,2.18949,0.01172,2.09229,4.76854,5.09565,6.07663,1.83081,4.28313,1.5981,2.6911,1.77699,0.07034,1.00738,4.2175,1.92731,0.1541,0.00643,0,2.42884,0.71669,0.64724,0.86857,1.70264,2.58329,8.15922,2.85737,4.25624,4.52634,0.84685,4.215,6.37009,2.55643,1.2705,2.48246,0.0901,5.1923
"Eggerthellales",0.43729,0.41632,2.70718,0.09625,0.00521,0.00684,0.23252,0.7311,0.49729,1.39505,0.3333,0.04,0.2154,0.08043,0.12147,0.39584,0.81012,0.11928,0.05329,0.1212,0.05284,0.39642,0.25712,0.25997,0.03938,0.36155,0.07018,0.05182,0,0.06729,0.029,0.4027,0.13951,0.36308,0.45269,0.30341,0.1891,0.34525,0.31871,0.84544,0.17949,0.8679,0.86831,0.34746,0.97999,0.17596,0.97315,0.11072,0.22993,1.30252,0.80705,0.31907,4.68645,0.20925,0.54294,0.11599,2.54034,0.13766,0.18709,0,0.27932,0.45718,0.42909,0.26846,0.50138,0.42287,0.57582,0.28991,0.18776,0.09045,0.31388,0.23076,0.60022,0.05085,0.59948,0.54802,0.17176,0.23746,0.13135,3.99051,0.47689,0,0.17689,1.09072,4.5313,1.31871,0.26117,0.23148,0.2851,0.33285,0.04119,0.41936,0.51771,0.23068,0.87326,0.19127,0.45747,0.03267,0.48337,0.03202,0.0917,0.15417,0.42991,0.32475,0.61506,0.36473,0.03335,2.276,0.25493,0.1518,0.16997,1.04014,0.08322,0.81667,0.55178,1.64256,0.1784,0.7621,3.20251,0.80933,0.20844,0.81669,0.31001,1.07363,0.179
"Saccharomycetales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02964,0,0,0,0,0,0,0,0,0,0,0,0,0.00951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00055,0,0,0,0,0,0.01884,0
"Bacteroidales",60.82675,39.35869,52.99279,39.93783,24.26795,35.8173,49.04385,12.14051,42.86317,29.49719,39.67471,35.46221,25.37047,30.06587,61.42846,32.47016,41.7368,29.03989,31.60864,57.19232,61.08683,20.51677,63.74745,41.62949,52.80699,47.90562,49.55325,57.45635,60.9718,34.6492,30.26732,41.12143,33.62046,58.98082,55.36301,49.05805,38.58807,84.7161,48.33919,34.93526,42.65137,28.64962,46.28578,51.44527,10.34164,30.22984,20.00236,25.38949,43.99027,79.17451,63.84139,53.72682,40.19177,31.25781,28.41495,58.09499,50.40218,50.37577,46.51282,46.352,49.2537,19.82664,37.03672,66.04458,48.40693,31.36934,30.28121,17.45748,50.87374,22.46021,49.97871,36.30867,5.86332,63.17286,18.00476,7.90683,27.68384,20.78557,50.21135,38.14859,29.36294,50.2776,67.93925,24.61312,8.02772,23.74735,23.4958,54.45684,42.73388,43.16305,47.10439,33.56115,37.52301,49.07526,26.49916,32.73675,35.91498,33.25991,33.99162,58.57659,29.93039,58.89066,49.91096,17.36934,41.6093,14.67417,82.84746,20.21013,19.62679,33.16371,18.86388,31.03877,12.51605,21.81736,58.27726,18.63011,20.10872,37.86218,32.34231,38.18119,31.13456,34.71637,31.16765,39.57316,19.60558
"Candidatus Gastranaerophilales",0,0,0.02331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118,0,0,0,0,0,0,0,0,0.03069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17028,0,0,0,0,0,0,0,0,0.02899,0,0.00524,0,0.01786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1935,0,0,0,0,0,0
"Methanomassiliicoccales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobacteriales",0.19406,0.00173,0,0,0.51418,0.14258,0,0.30753,0,1.49843,0,0,0,0,0,1.00038,1.62505,0,0.00393,0,0.04932,0,0.10524,0,0.02082,0.1394,0,0.01093,0,0.02898,2.06197,0,0.71881,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0.00722,1.10376,0,0,0.00276,1.75557,0.04008,0.1016,0,0,1.01424,0,0,2.25136,0,2.5148,0.06125,0.4466,0,0,0,1.86507,0.02866,0,0.24457,0.24951,0.34319,0.01862,0.03064,0,0,0,1.95992,0,0,0,0,0.0261,0,0,0.16182,0.01267,0,0,0,0,0.2698,0.02022,0,0,0,0.30233,0.43673,0,0,0,0,0.31543,0,0,0,0,0.15331,0.03816,0.02414,0,0,0.0549,0.05655,3.11556,0,0,0.01614,0.0856,0,0.46905,0,0,0.00798
