"","CCMD11006829ST.21.0","CCMD12232071ST.21.0","CCMD13071240ST.21.0","CCMD13934959ST.21.0","CCMD14479708ST.21.0","CCMD18872694ST.21.0","CCMD19497912ST.21.0","CCMD23101338ST.21.0","CCMD25511638ST.21.0","CCMD25963797ST.21.0","CCMD26709089ST.21.0","CCMD26925580ST.21.0","CCMD34381688ST.21.0","CCMD35802077ST.21.0","CCMD40701343ST.21.0","CCMD42428553ST.21.0","CCMD45988061ST.21.0","CCMD46222674ST.21.0","CCMD46947453ST.21.0","CCMD48236717ST.21.0","CCMD50071957ST.21.0","CCMD51864103ST.21.0","CCMD60079086ST.21.0","CCMD63399960ST.21.0","CCMD64503764ST.21.0","CCMD64776337ST.21.0","CCMD72895164ST.21.0","CCMD74930188ST.21.0","CCMD79987997ST.21.0","CCMD82866709ST.21.0","CCMD86114146ST.21.0","CCMD86707194ST.21.0","CCMD87156761ST.21.0","CCMD88272491ST.21.0","CCMD90311071ST.21.0","CCMD93344354ST.21.0","CCMD95433940ST.21.0","CCMD96553385ST.21.0","MMPU29365221ST","MMPU68403337ST","MMPU72854103ST","MMPU84450604ST","MMPU99077057ST","CCMD10032470ST.11.0","CCMD10191450ST.11.0","CCMD15562448ST.11.0","CCMD17410933ST.11.0","CCMD18579000ST.11.0","CCMD18829815ST.11.0","CCMD19168690ST.11.0","CCMD21593359ST.11.0","CCMD21703880ST.11.0","CCMD22852639ST.11.0","CCMD23541216ST.11.0","CCMD25475945ST.11.0","CCMD26625622ST.11.0","CCMD27463710ST.11.0","CCMD27867141ST.11.0","CCMD28738636ST.11.0","CCMD29706695ST.11.0","CCMD30626189ST.11.0","CCMD30627121ST.11.0","CCMD31009081ST.11.0","CCMD31134579ST.11.0","CCMD32288175ST.11.0","CCMD32965613ST.11.0","CCMD35081859ST.11.0","CCMD35633353ST.11.0","CCMD35801800ST.11.0","CCMD37575804ST.11.0","CCMD38158721ST.11.0","CCMD39157124ST.11.0","CCMD39882286ST.11.0","CCMD41202658ST.11.0","CCMD41521570ST.11.0","CCMD42956136ST.11.0","CCMD45004878ST.11.0","CCMD45812507ST.11.0","CCMD46727384ST.11.0","CCMD49025643ST.11.0","CCMD49461418ST.11.0","CCMD49942357ST.11.0","CCMD50300306ST.11.0","CCMD50529145ST.11.0","CCMD50538120ST.11.0","CCMD51154251ST.11.0","CCMD51228890ST.11.0","CCMD52117727ST.11.0","CCMD52145360ST.11.0","CCMD53508245ST.11.0","CCMD53522274ST.11.0","CCMD54057834ST.11.0","CCMD56948710ST.11.0","CCMD59540613ST.11.0","CCMD59583015ST.11.0","CCMD65222621ST.11.0","CCMD65406197ST.11.0","CCMD66848156ST.11.0","CCMD67373733ST.11.0","CCMD68973846ST.11.0","CCMD71242853ST.11.0","CCMD71915439ST.11.0","CCMD72666896ST.11.0","CCMD72690923ST.11.0","CCMD73128545ST.11.0","CCMD74592084ST.11.0","CCMD75147712ST.11.0","CCMD76222476ST.11.0","CCMD76409700ST.11.0","CCMD79349503ST.11.0","CCMD85481373ST.11.0","CCMD85661207ST.11.0","CCMD89107682ST.11.0","CCMD89306485ST.11.0","CCMD89643949ST.11.0","CCMD89967135ST.11.0","CCMD92404903ST.11.0","CCMD93755960ST.11.0","CCMD95431029ST.11.0","CCMD95676152ST.11.0","CCMD98198513ST.11.0","CCMD98531134ST.11.0","CCMD98702133ST.11.0","CCMD99440714ST.11.0","CCMD99929634ST.11.0"
"Tissierellia",2.53453,0.02841,0.00499,0.30884,0,0.08201,0.24886,0.00671,0,0,0,0,0.00336,0,0.03297,0.00347,0,0.01714,0,0,0.22227,0.54564,0,0,0.17848,0.00666,0,0.00765,0.00255,0.6279,0.04178,0,0,0,0,0,0.00126,0.04791,0,0,0,0,0,0,0,0,0.00038,0,0,0.06751,3.6653,0.25771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11319,0,0,0,0,0,0,0,0.01169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03389,0,0,0,0,0,0.04298,0.01877,0,0,0,0,3.44064,0,0.00625,0,0,0,0,0,0,0,0,0,0.00315,0,0,0,0,0.32883,0.05762,0,0.01229,0,0,0
"Fusobacteriia",1.36658,0.4354,0.49788,0.42711,0,0.16804,0.03058,0.00087,0,0,0,0,0,0.00247,0.02838,0.00262,0.01236,0.04051,0,0,0.28986,1.52629,0,0.01377,0.01157,0.10923,0,0.27277,0,0.26961,0,0.00655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73491,0.04243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62863,0.0057,0,0.04897,0,0,0,0,0,0,0,0,0,0,0.01452,0,0,0,0,0,0.00949,0,0,0,0,0,0.99015,0,0,0.04338,0,0,0,0.01833,0,0,0.01352,0,7e-04,0,0,0.21347,0,0.23033,0,0,0.00459,0,0,0
"Lentisphaeria",0,0,0,0,0.0313,0.00921,0,0.0073,0.0327,0,0,0,0,0.00439,0,0,0.00191,0.05983,0,0,0,0,0.03099,0.00905,0,0,0.0033,0,0,0,0.02902,0,0,0,0.05091,0,0,0,0,0,0,0,0,0,0,0.01298,0,0,0,0,0,0.07896,0,0.03665,0,0,0,0,0,0,0,0,0,0,0.06647,0,0,0.2571,0,0,0,0,0.00303,0.01893,0,0,0,0,0,0,0,0,0,0,0,0,0.01255,0.00132,0,0,0,0,0.02784,0.23094,0,0,0,0.01704,0,0,0,0,0,0.65814,0.00073,0,0,0,0,0,0.01337,0,0,0.00467,0.03248,0,0,0,0,0.00224,0,0.04381,0,0,0
"Betaproteobacteria",0,0,0.07881,0.21239,0.02145,0.04821,0,0.02063,1.09251,0.94794,0.90422,0.01064,0.04136,0.19951,0,0.00654,0.08216,0.0077,1.54535,0.01928,0.17671,0.10147,0.18179,0.01354,0,0,0,0.08788,0,0.20878,0,0,0.04728,0,0,0,0.09037,0,0,0.24763,0,0.02914,2.04849,0.01891,0,0,0.44051,0.15686,0,0,1.30739,0.01114,0.05238,0.08734,0.01665,0.05294,0.11792,0.10321,0.42681,1.08216,0,0,0.77252,0,0.3863,0,0.60936,0.0254,0.00024,0.00118,0,0.01536,0,0,0,0.01351,0.04896,0.22147,0.21529,0,0.10815,0.02898,0,0,0.56421,2.51752,0,0.2462,0.55672,0.06577,0,0,0,0.00293,0.65246,0,0,0.03211,0,0,0.09634,0.08117,0,0,1.7395,0.0792,3.84096,0,0.27911,0,0,0.09275,0.02399,0,0.04044,0.07143,0,0,0.05891,0.16691,0,0.0038,0.03425,0.84495,0
"Deltaproteobacteria",0.20708,0,0.01283,0.09228,0.0134,0.04192,0.03447,0.00508,0.42284,0.1202,0.07681,0.01933,0.13727,0.08993,0.12464,0.74632,0.02945,0.30181,0.03028,0.00938,0.05565,0,0,0.1477,0.12379,0.10488,0.18692,0.01786,0,0.07838,0.0121,0.01791,0.42657,0,0.05483,0.07673,0.06916,0,0.00413,0.38025,0,0.03664,0,0.0687,0.07233,0.37618,0.00287,1.14337,0,0,0.04457,0.05711,0.63667,0.00547,0.1852,0.21303,0.01216,0.4312,0,0.01275,0,0,0.6075,0.01609,0,0.07888,0.14865,0.04501,0.22634,0.00704,0.03498,0.09711,0.01681,0,0.00527,0,0.49379,0.07789,0,0.44058,0,0.00255,0.00081,0.00632,0,0.49379,0.57545,0.00378,0.04339,0.37205,0.01897,0.10104,0.06928,1.81893,0.03488,0.64862,0.04165,0.02704,0.17652,0.20956,0.01943,0.09005,0.04246,4.39944,0.55063,0.00827,0.27713,2.43785,0,0.01279,0.33837,0.45313,0.04387,0.03229,1.41959,0,0.13806,0.01111,0.02421,0.33253,0,0.0308,0.09089,0,0.09341
"Epsilonproteobacteria",0.00064,0,0,0.01825,0,0,0,0,0,0,0,0,0,0,0.04676,0,0,0.02086,0,0,0.00311,0.00823,0,0,0,0,0,0,0.01058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04534,0.04823,0,0,0,0,0.00339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06567,0,0,0,0,0,4.02092,0,0,0,0,0,0,0,0,0,0,0.00241,0,0,0,0,0,0
"Gammaproteobacteria",0,0.06074,0.0592,0.73365,0.15435,0.25991,0.14483,0.2851,0.04265,0,0,0.02051,0.18037,0.0095,0,0.1867,0.01603,0.01298,0.08067,0.00783,1.41975,0.00425,0.65097,2.46073,0.17544,2.77665,0.02254,4.31947,0.01159,0.42486,0.32144,2.00032,0.06736,0.46347,0.00404,0.01752,0.06083,0.21164,0.00059,0.04182,0.07411,0.00614,0.05098,0.00403,2.14507,28.08845,0.02327,0.5027,0.00495,0.16449,0.70036,0.09416,0.00436,0,22.0638,0.08805,0.19393,0.01148,0,0.22777,0.00996,0.64989,0.00167,1.86308,6.94333,0.77534,0.07502,0.08233,0.1141,0.00409,0.02716,0.05719,0.57803,2.14894,0.01527,0.70144,0.03118,0,0.7314,2.33431,0,0.0134,0.00326,0.10779,0.08695,0.00695,0.02913,0.3087,0.10233,0.46626,0.0552,0.00187,0,0.10588,0.01266,0.0037,1.58832,0.1384,0.07628,0,0.02039,0.01148,0,0.00251,0,0.06462,0,0.26291,0.08347,0.05395,27.9613,0.22743,0.03321,0.00893,0.01733,0.14843,2.16225,0.46358,0.0373,1.40293,0,0.01321,0.04932,0,0.4092
"Spirochaetia",0,0,0,0,0,0,0,0.04091,0,0,0,0,0,0,0,0,0,0,0,0,0.03421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistia",0,0.00341,0.00095,0,0.53858,0.00075,0.01788,0,0.00102,0,0,0,0,0,0,0.00282,0,0.00163,0,0,0.00169,0,0,0,0.10272,0.00191,0.00164,0.0083,0,0,0.00122,0,0.00292,0,0.00078,0,0,0,0,0.20073,0,0,0,0,0,0,0,0,0,0,0,0.5844,0.00392,0,0,0,0,0,0,0,0,0,0,0.04147,0,0,0,0.01264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00058,0.00089,0,0,0,0,0,0,0.00082,0,0,0.01605,0,0,0.00056,0,0.00442,0,0,0,0,0.0066,0,0,0,0,0.00832,0.00624,0.02815,0,0,0,0.63658,0,0,0,0,0
"Bigyra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2409,0,0,0,0,0,0,0.12141,0,0,0,0,0.1211,0,0,0,0,0,0,0.0087,0,0.07712,0,0,0,0,0,0,0,0,0,1.89569,0,0,0,0,0,0,0.1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown",1.8313,2.08198,0.72582,0.50555,0.38499,0.40715,1.46194,0.88667,1.64783,0.25563,0.04519,0.35637,2.58601,1.29729,0.02646,6.69813,1.40279,1.43556,0.62309,0.07944,1.40959,1.91449,2.74953,1.29995,0.16829,0.68511,0.92919,0.83108,0.0078,1.24651,2.48323,0.09956,1.49621,0.34818,0.26956,0.03402,1.14657,0.46112,0.0628,0.35139,0.04962,0.00075,2.40929,0,2.57344,2.95399,0.04612,0.36246,0.4679,0.81807,0.9008,1.59358,7.70476,0.90348,0.35495,0.12076,2.5464,2.2093,3.41921,4.62309,0.3806,0.14051,1.14812,3.13577,1.84932,1.21422,0.99879,1.11497,0.0203,0.28183,0.16929,0.87347,0.99161,0.20511,0.06732,0,14.1818,0.2528,0.58912,0.16007,0.34737,0.54998,1.66927,1.52292,5.32571,1.93988,1.21993,2.64148,3.33238,1.75137,0.6028,1.25309,0.16051,0.12885,0.1359,0.56662,0.25382,1.72937,0.92612,0.07613,1.69836,6.99483,3.24483,15.26503,1.80267,0.74696,0.13932,0.15024,0.48374,0,0.23647,1.56835,0.81717,0.9913,1.92625,2.016,0,0.44788,3.71622,2.75733,0.1522,1.54485,0.1651,0.7822,0.55903
"Verrucomicrobiae",0.00539,3.12304,0,0,12.57296,0.00269,0,0.53343,2.5686,10.21463,0.71338,2.10116,0.02112,1.19046,0.01732,4.99335,0.00263,0.00416,0,0,0.35777,0.02534,0,0.10349,0,11.39615,1.19357,0.06999,19.11455,6.21802,0.04023,0,0.0031,0.01859,0.03648,0,0.7635,0.00197,0.00731,10.95058,0,0.00171,0,0,2.20514,0,0.00532,4.18932,0.19671,0,0,4.98389,0.11338,3.56811,0.47784,0.55193,1.0903,4.44828,0,0,0,0,0.04539,1.65071,0.00383,0,2.82782,20.03888,0.19442,0.03795,0,0,0,0.81081,0,0,3.6738,0,0.01147,0.00292,0,0,0.5501,0.01108,0.04347,0,0.42768,0.00839,0.45639,0,1.33438,0.68272,0.9957,0.94082,0.05226,16.21407,0,0,0.08598,1.20106,2.34079,0.00013,0,1.2865,3.57463,0,0,0,3.0792,0,0.01838,0.28219,0,0.14693,0.00392,0.56803,42.50619,0.48379,8.2206,0.02579,0,0.36837,0,0.11474,0.77439
