"","MMRS11288076ST.27.0.0","MMRS11664448ST.27.0.0","MMRS11932626ST.27.0.0","MMRS12272136ST.27.0.0","MMRS14379078ST.27.0.0","MMRS14602194ST.27.0.0","MMRS15137911ST.27.0.0","MMRS16644320ST.27.0.0","MMRS17603756ST.27.0.0","MMRS17963147ST.27.0.0","MMRS18295921ST.27.0.0","MMRS20257302ST.27.0.0","MMRS21365932ST.27.0.0","MMRS24340226ST.27.0.0","MMRS25211151ST.27.0.0","MMRS25641480ST.27.0.0","MMRS29805707ST.27.0.0","MMRS31306426ST.27.0.0","MMRS32573774ST.27.0.0","MMRS33294861ST.27.0.0","MMRS34525504ST.27.0.0","MMRS34569532ST.27.0.0","MMRS35808664ST.27.0.0","MMRS36405092ST.27.0.0","MMRS38861560ST.27.0.0","MMRS38954404ST.27.0.0","MMRS39415781ST.27.0.0","MMRS39582183ST.27.0.0","MMRS40913371ST.27.0.0","MMRS41266697ST.27.0.0","MMRS41711735ST.27.0.0","MMRS42570301ST.27.0.0","MMRS42780924ST.27.0.0","MMRS43563715ST.27.0.0","MMRS43939546ST.27.0.0","MMRS44197125ST.27.0.0","MMRS44203591ST.27.0.0","MMRS44587603ST.27.0.0","MMRS47662059ST.27.0.0","MMRS47685461ST.27.0.0","MMRS48639115ST.27.0.0","MMRS51307502ST.27.0.0","MMRS51410669ST.27.0.0","MMRS51728985ST.27.0.0","MMRS51737257ST.27.0.0","MMRS54246132ST.27.0.0","MMRS54316675ST.27.0.0","MMRS55294627ST.27.0.0","MMRS56137463ST.27.0.0","MMRS57276462ST.27.0.0","MMRS57569834ST.27.0.0","MMRS59699117ST.27.0.0","MMRS61683006ST.27.0.0","MMRS62192467ST.27.0.0","MMRS62376181ST.27.0.0","MMRS62666492ST.27.0.0","MMRS64281211ST.27.0.0","MMRS64281551ST.27.0.0","MMRS65205033ST.27.0.0","MMRS65742083ST.27.0.0","MMRS65862658ST.27.0.0","MMRS65945127ST.27.0.0","MMRS66868025ST.27.0.0","MMRS67096717ST.27.0.0","MMRS67247116ST.27.0.0","MMRS67690541ST.27.0.0","MMRS68630931ST.27.0.0","MMRS68910755ST.27.0.0","MMRS71238091ST.27.0.0","MMRS71762412ST.27.0.0","MMRS72802364ST.27.0.0","MMRS72980899ST.27.0.0","MMRS73787048ST.27.0.0","MMRS77018926ST.27.0.0","MMRS77321055ST.27.0.0","MMRS77487595ST.27.0.0","MMRS78791111ST.27.0.0","MMRS79893829ST.27.0.0","MMRS80093644ST.27.0.0","MMRS81130264ST.27.0.0","MMRS81135225ST.27.0.0","MMRS81194191ST.27.0.0","MMRS81671217ST.27.0.0","MMRS84085284ST.27.0.0","MMRS84159866ST.27.0.0","MMRS84954772ST.27.0.0","MMRS85382779ST.27.0.0","MMRS85438660ST.27.0.0","MMRS85548821ST.27.0.0","MMRS86168210ST.27.0.0","MMRS86178473ST.27.0.0","MMRS86958796ST.27.0.0","MMRS87723283ST.27.0.0","MMRS88581325ST.27.0.0","MMRS90191266ST.27.0.0","MMRS91297590ST.27.0.0","MMRS92544445ST.27.0.0","MMRS92546335ST.27.0.0","MMRS92727331ST.27.0.0","MMRS93508324ST.27.0.0","MMRS93621581ST.27.0.0","MMRS94549160ST.27.0.0","MMRS95277876ST.27.0.0","MMRS95479054ST.27.0.0","MMRS95674036ST.27.0.0","MMRS96422329ST.27.0.0","MMRS97052561ST.27.0.0","MMRS97307143ST.27.0.0","MMRS97327636ST.27.0.0","MMRS99045180ST.27.0.0"
"Campylobacterales",0,0,0,0,0,0,0.0109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0,0,0.00733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01203,0,0,0.00934,0,0,0,0.00198,0,0,0,0,0.17462,0.00854,0.01067,0.44388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00396,0,0,0.05886
"Aeromonadales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071,0.02176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29129,0,0,0,0,0,0.0071,0,0,0,0,0,0,0,0,0.01183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacterales",0.01802,0.021,0.07843,0,0.00177,0.89975,1.8291,0.66332,0,0.65284,0,0.33525,0.03632,0.00955,0.27131,0.00296,0.00702,0.04009,0.16906,0.08134,0.07859,0.06596,12.78747,0.00651,0.11331,0.03368,0,0,0,6.4636,28.44459,0,0.00029,0.00937,2.52912,0,0.28918,1.66455,16.99733,0.29077,0.00608,0.0031,0.00085,33.31977,0.20448,0.99739,2.08755,0.16659,0.64495,0,0.00264,0,0,0.25907,0.00384,0.00787,5.09345,0.67692,0.09362,16.38517,0,2.73945,0.03951,0.22075,0.03962,0.00343,0.00903,0.00085,0,0.35508,0.09133,0.26814,0.33199,0,0.03318,2.73145,0,0.0059,2.3065,0.03362,0,0.11728,0.15969,0.02552,0.07048,0.01786,2.65421,0,0.00082,12.71788,0.03544,0.11679,0,0.06458,0.00761,0.00596,4.82201,0.01609,0.00842,0.0621,0.12448,1.40929,0.36984,0,0.13178,0.00496,0,0,0.11312,0.07712
"Moraxellales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01621,0,0,0,0,0,0,0,0
"Pasteurellales",0.014,0,0,0.00187,0.1523,0,0,0,0,0.05863,0.0187,0,0,0.02291,0.00669,0,0.00347,0,0.10165,0.01424,0.06596,0.00133,0.06835,0.06274,0,0,0,0,0,0,0.1924,0.01494,0,0.01261,0,0,0,0.01295,0,0.00282,0.08529,0,0,0.15703,0,0.02826,0,0,0,0.11895,0,0,0.0011,0.18783,0.06187,0.05593,0,0.0745,0.10476,0.17934,0.33522,0,0,0,0.00547,0.00138,0.00479,0,0.00553,0,0.05266,0.05988,0,0,0.04972,0,0.00418,0,0,0,0,0,0.00451,0,0.01104,0,0.10445,0,0,0.0023,0.18308,0.01413,0,0,0.02189,0,0.00989,0.18625,0,0.00111,0,0.08965,0.13427,0,0.11083,0.00153,0.00285,0,0.02146,0
"Pseudomonadales",0,0,0,0,0.00291,0,0,0,0,0.00272,0,0,0,0,0,0,0,0,0.00175,0.01454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00174,0,0,0,0.02066,0,0,0,0,0.01396,0,0,0,0,0,0,0,0,0,0.06857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00386,0,0,0,0,0,0,0,0,0.00176,0
"Brachyspirales",0,0,0,0.04498,0,0,0,0,0,0,0,0.28009,0,0,0,0,0,0,0,0,0,0.86343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3888,0,0,0,0,0,0,0,0,0,0,0,0,0.09958,0,0,0,0,0,0,0,0,0,0,0,0
"Spirochaetales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistales",0,0.00103,0,0.00276,0,0.00094,4.7034,0,0,0,0,0.05549,0.00225,0,0,0.00821,0,0,0.00493,0,0,0.00645,0,0,0,0,0,0.02969,0,0.00077,0,0,0,9e-04,0,0.00116,0,0,0,0,0,0.43312,0.01072,0,0.00075,0,0,0.00135,0,0.01752,0,0,0.00037,0,0,0,0,0,0,0,0,0,0,0.00105,0,0.00061,0,0,0,0.00113,0,0,0,0,0.00228,0,0,0,0.12731,0,0,0.08449,0,0.00073,0.00191,0.02668,0,0,0.00147,0.04613,0,0,0,0.00079,0,0,0,0.00119,0,0,0,0,0.00177,0.00189,0,0.02985,0,0,0,0
"Opalinata",0,0,0.21479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown",0.64489,0.66127,3.28324,0.36607,0.79813,1.24513,0.84235,1.01485,0.00504,0.60541,0.26929,1.88876,0.83591,0.47892,1.20223,2.54389,1.59989,1.64568,1.5183,0.92697,0.04515,1.3955,0.05996,0.55777,1.85103,3.72517,0.88058,0.92881,1.28142,2.38409,2.06827,1.96571,0.03357,0,0.24955,2.98807,0.17204,0.76556,1.78166,0.01156,0.53157,10.59453,1.12531,0,0.62478,0.59141,1.33181,2.48205,0.08796,0.38199,0.44937,0.09128,2.51525,12.23022,0.30216,2.50951,2.43866,0.88015,0.55164,0.8071,0.36003,0,2.72978,2.14896,0.68364,0.58637,0.55411,0.04566,1.52998,0.62011,0.5608,0.66079,1.93891,1.79108,0.39737,1.02853,0.00857,2.38828,2.00597,3.85891,0.01877,0.00148,0.29929,2.13408,0.33973,0.11781,1.23877,0,0.28171,1.29446,0.43968,1.77094,0.48011,0.34678,0.44687,1.57368,2.34808,0.09502,4.60442,2.13808,1.67596,4.9294,12.92027,1.49983,2.48276,2.47655,0.13952,1.10412,0.16882,1.92387
"Verrucomicrobiales",0.42053,0.01694,2.84206,0,0,0,5.06113,0.1964,0,0,0,1.97847,1.48377,0.001,5.31361,0.09533,0.01508,0.01021,1.07672,0.37886,0.00667,0.00869,0.28802,0.01793,0,0.00289,0,0.33891,1.18271,1.02767,0.76056,2.18211,1.73578,0.21945,0,0.00337,0.52717,0.03192,0.01959,0,0,8.36371,0,0,0.01811,0.14267,0,0,0.0704,0.00123,1.83914,0,0,0,0.01258,0.66678,1.01288,0.01754,0.17124,0.00732,0.09814,5.19204,0,2.80039,0,0.02159,0.06821,0,3.22678,3.17839,4.61178,6.89615,0,0,0.02079,3.90374,0,3.29433,1.06948,6e-04,0,0,0.04012,0.00354,0.00065,0.07502,0,0,1.42395,0.86097,3.06263,2.807,1.42822,3.26313,0,0.04509,0.74988,0,0.36486,1.12591,0.04665,1.29194,2.49615,0,0,2.96098,0.34471,0,0,0
