"","MMRS11288076ST.27.0.0","MMRS11664448ST.27.0.0","MMRS11932626ST.27.0.0","MMRS12272136ST.27.0.0","MMRS14379078ST.27.0.0","MMRS14602194ST.27.0.0","MMRS15137911ST.27.0.0","MMRS16644320ST.27.0.0","MMRS17603756ST.27.0.0","MMRS17963147ST.27.0.0","MMRS18295921ST.27.0.0","MMRS20257302ST.27.0.0","MMRS21365932ST.27.0.0","MMRS24340226ST.27.0.0","MMRS25211151ST.27.0.0","MMRS25641480ST.27.0.0","MMRS29805707ST.27.0.0","MMRS31306426ST.27.0.0","MMRS32573774ST.27.0.0","MMRS33294861ST.27.0.0","MMRS34525504ST.27.0.0","MMRS34569532ST.27.0.0","MMRS35808664ST.27.0.0","MMRS36405092ST.27.0.0","MMRS38861560ST.27.0.0","MMRS38954404ST.27.0.0","MMRS39415781ST.27.0.0","MMRS39582183ST.27.0.0","MMRS40913371ST.27.0.0","MMRS41266697ST.27.0.0","MMRS41711735ST.27.0.0","MMRS42570301ST.27.0.0","MMRS42780924ST.27.0.0","MMRS43563715ST.27.0.0","MMRS43939546ST.27.0.0","MMRS44197125ST.27.0.0","MMRS44203591ST.27.0.0","MMRS44587603ST.27.0.0","MMRS47662059ST.27.0.0","MMRS47685461ST.27.0.0","MMRS48639115ST.27.0.0","MMRS51307502ST.27.0.0","MMRS51410669ST.27.0.0","MMRS51728985ST.27.0.0","MMRS51737257ST.27.0.0","MMRS54246132ST.27.0.0","MMRS54316675ST.27.0.0","MMRS55294627ST.27.0.0","MMRS56137463ST.27.0.0","MMRS57276462ST.27.0.0","MMRS57569834ST.27.0.0","MMRS59699117ST.27.0.0","MMRS61683006ST.27.0.0","MMRS62192467ST.27.0.0","MMRS62376181ST.27.0.0","MMRS62666492ST.27.0.0","MMRS64281211ST.27.0.0","MMRS64281551ST.27.0.0","MMRS65205033ST.27.0.0","MMRS65742083ST.27.0.0","MMRS65862658ST.27.0.0","MMRS65945127ST.27.0.0","MMRS66868025ST.27.0.0","MMRS67096717ST.27.0.0","MMRS67247116ST.27.0.0","MMRS67690541ST.27.0.0","MMRS68630931ST.27.0.0","MMRS68910755ST.27.0.0","MMRS71238091ST.27.0.0","MMRS71762412ST.27.0.0","MMRS72802364ST.27.0.0","MMRS72980899ST.27.0.0","MMRS73787048ST.27.0.0","MMRS77018926ST.27.0.0","MMRS77321055ST.27.0.0","MMRS77487595ST.27.0.0","MMRS78791111ST.27.0.0","MMRS79893829ST.27.0.0","MMRS80093644ST.27.0.0","MMRS81130264ST.27.0.0","MMRS81135225ST.27.0.0","MMRS81194191ST.27.0.0","MMRS81671217ST.27.0.0","MMRS84085284ST.27.0.0","MMRS84159866ST.27.0.0","MMRS84954772ST.27.0.0","MMRS85382779ST.27.0.0","MMRS85438660ST.27.0.0","MMRS85548821ST.27.0.0","MMRS86168210ST.27.0.0","MMRS86178473ST.27.0.0","MMRS86958796ST.27.0.0","MMRS87723283ST.27.0.0","MMRS88581325ST.27.0.0","MMRS90191266ST.27.0.0","MMRS91297590ST.27.0.0","MMRS92544445ST.27.0.0","MMRS92546335ST.27.0.0","MMRS92727331ST.27.0.0","MMRS93508324ST.27.0.0","MMRS93621581ST.27.0.0","MMRS94549160ST.27.0.0","MMRS95277876ST.27.0.0","MMRS95479054ST.27.0.0","MMRS95674036ST.27.0.0","MMRS96422329ST.27.0.0","MMRS97052561ST.27.0.0","MMRS97307143ST.27.0.0","MMRS97327636ST.27.0.0","MMRS99045180ST.27.0.0"
"Staphylococcaceae",0,0,0,0,0,0,0,0.01331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066,0,0,0
"Aerococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carnobacteriaceae",0,0,0,0,0,0,0.01317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126,0,0,0,0,0,0.00013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcaceae",0,0,0,0,0,0,0,0,0.00986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04778,0,0,0,0,0,0.00727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00849,0,0,0.05807,0
"Lactobacillaceae",0.9704,0.05933,0.0015,0,0,0.00603,0.00629,1.11835,0,0.41284,0,0.11658,0,0,0,0.02047,0.45101,0,0.03663,0,0.12915,0.02599,0.07684,0.08618,0,0.16973,0.01635,0.01546,0.00158,0.02118,0,0.01223,0.00348,0.16014,0,0.09441,0,1.54366,0.15235,0,0,0,0.33725,0.00609,0.00265,0.10403,0.22712,0,0.24521,0.28763,0.02947,0,0,0,0.00055,0,0.96172,0.01398,0.20201,0.01945,0.0281,0.01988,0,0.02902,0.19627,0.05748,0.00848,0,0.07849,0.23725,0,0.04502,0.05843,0,0.17888,0.00219,0,0,0,0.08919,0,0.03823,0.12585,0.01158,0,0,0.04291,0,0.02059,0,0.00965,0.03402,0,0,0.0107,0,0.03895,0,0,0,0,0.47605,0.69488,0.2126,0.2209,0.20885,0.02583,0.00219,0.00039,0
"Streptococcaceae",0.13434,0.20096,0.07365,0.09359,0.27409,0.14525,0.83391,6.24476,2.80872,0.21068,0.60241,0.14098,0.64107,0.46079,0.33058,0.06267,0.59898,0.02421,0.65434,0.05765,0.24383,0.00609,2.94401,0.04533,0.10908,0.06981,0.14924,0.07936,0.22583,0.01692,0.27591,0.31747,0.03076,0.21834,0.15275,0.07229,0.03477,3.50105,0.06337,0.01308,0.40572,0,0.04569,55.47222,0.00478,0.1532,0.5879,0.0687,0.19307,1.2494,0.76272,0.02392,0.06044,0.46214,1.32116,0.51078,0.00012,0.06979,6.0008,0.08646,4.29219,0.28134,0.00184,0.09584,0.0417,0.71492,0.08855,0.02675,0.25902,0.01763,0.0888,0.39148,0.07417,0.01698,1.08649,0.03279,0.1714,0.01219,0.55018,1.32284,0.01774,0.07173,0.04902,0.19142,0.07521,0.02097,0.11207,0.22635,0.28873,0,1.37799,1.68176,0.00548,0.05658,0.25045,0.11407,0.01972,0.31248,0.01956,0.50474,0.24178,0.42063,0.11155,0.04952,2.05382,0.06911,0.14277,0.00178,0.001,0.01049
"Christensenellaceae",0,0,0.00032,0,0.00016,0.01301,0.01226,0.00602,0,0.00466,0.00135,0,0.00599,0,0.00556,0.1127,0,0,0.00857,0.00748,0,0,0,0,0.00576,0,0.00308,0.00616,1e-04,0.00174,0.01777,0,0.00086,0.00563,0.0031,0.02736,0,0,0,0,0.00232,0,0,0,0.00142,0,0,0.04305,0,0,0.00691,0,0,0,0,0,0.00241,0,0,0,0.00156,0,0,0.00396,0.00932,0,0,0.01595,0.00383,0.04975,0.00427,0.16073,0,0.02976,0,0.02197,0,0,0.08354,0,0,0,7e-04,0,0,0.00296,0,0,0.01975,0,0,0,0.00082,0.01185,0,0.00044,0.01856,0,0.00542,0.00803,0.00869,0.00523,0,0,0,0.0019,0.01765,0.00857,0,0
"Clostridiaceae",1.27553,1.39421,0.6214,0.37426,0.18713,0.90003,1.31418,0.40298,0.07793,1.06729,0.20762,0.94164,1.24774,1.37989,0.59764,0.21498,0.5821,0.88013,8.1608,0.76731,0.05983,0.33024,3.49047,1.37147,0.35592,3.53005,0.2479,0.53778,0.52286,0.82878,0.09813,2.46615,0.50357,0.49256,0.18585,0.06197,0.48524,4.09616,0.52179,1.24236,0.13713,1.08527,0.27724,0.422,0.21287,3.21158,0.31808,0.31455,0.13044,0.24627,1.11936,0.35036,0.64992,0.43357,0.58044,0.36007,3.22476,0.02925,0.43514,3.09359,0.15643,0.22717,0.46629,0.06964,0.71097,1.25729,0.3691,0.41715,1.71062,0.3612,0.15673,1.85366,0.31838,0.78528,0.82935,6.63853,0.0316,1.15636,0.43467,1.21539,0.38807,0.12656,0.14117,0.96635,1.88634,0.18825,0.59292,1.74497,0.4927,0.96005,3.01385,0.27253,0.22537,0.33044,0.22642,3.32791,0.0079,1.63964,3.8123,0.66042,0.73261,0.3137,3.14514,0.41569,2.52079,0.3536,0.31865,0.16868,1.64435,0.00864
"Eubacteriaceae",3.4859,5.31827,6.42176,0.00039,0.16518,8.75522,0.95946,6.79393,0.40261,0.72778,7.51484,0.548,2.95333,2.87776,0.15248,0.32359,2.72514,0.11748,7.95262,7.92377,1.88824,0.07305,0.21481,2.78584,12.47095,0.70796,0.94976,26.53471,3.43398,0.00278,1.73256,0.18829,0.54432,7.18037,1.39163,3.33335,0.05519,8.13303,1.31314,0.72634,0.37626,1.33715,0.19018,0.02217,1.9145,0.69314,0.91921,0.4051,0.43701,4.74757,0.00421,1.08467,4.12182,2.67401,0.48889,0.59729,0.49126,2.22325,1.14416,0.60565,1.78151,1.74545,0.39131,0.47589,0.7396,5.94688,0.00095,0.00018,0.17905,0.78951,5.19018,0.00516,13.36792,0.17035,0.18812,0.81764,0.51173,3.51118,0.12891,1.63566,0.88591,0.23058,0.3839,0.5889,0.25442,5.52556,4.23789,0,9.82094,1.70435,15.32481,6.09063,1.21076,0.45122,0.59059,7.23973,7.32094,0,1.16184,0.45162,6.97078,1.55078,13.3902,1.36802,4e-04,7.28297,0.23131,0.10392,12.45337,3.30192
"Eubacteriales Family XIII. Incertae Sedis",0,0.00233,0,0,0.00282,0.00155,0.00618,0,0,0.00024,0.0117,0,0,0,0.00136,0,0.0011,0,0.01928,0,0,0,0.01598,0,0.00786,0,0,0,0,0.00212,0,0,0.00919,0.00334,0.01791,0.03278,0,0.00032,0.00826,0.00062,0.00613,0,0,0,0,0.0198,0.00035,0,0.00051,0.01646,0,0,0,0.07949,0.01618,0,0,0,0.0735,0,0.00284,0.00962,0,0.00423,0,0.00687,0,0,0.00665,0.0038,0.01407,0.03988,0.00134,0,0.00173,0,0.00116,0,0.0608,0.00044,0,0.10896,0.01248,0,0.01196,0,0,0.00094,0,0,0.00537,0,0,0,0,0,0.0035,0,0,0,0.00239,0,0,0.00126,0.00103,0,0.07086,0,0,0
