"","MMRS11288076ST.27.0.0","MMRS11664448ST.27.0.0","MMRS11932626ST.27.0.0","MMRS12272136ST.27.0.0","MMRS14379078ST.27.0.0","MMRS14602194ST.27.0.0","MMRS15137911ST.27.0.0","MMRS16644320ST.27.0.0","MMRS17603756ST.27.0.0","MMRS17963147ST.27.0.0","MMRS18295921ST.27.0.0","MMRS20257302ST.27.0.0","MMRS21365932ST.27.0.0","MMRS24340226ST.27.0.0","MMRS25211151ST.27.0.0","MMRS25641480ST.27.0.0","MMRS29805707ST.27.0.0","MMRS31306426ST.27.0.0","MMRS32573774ST.27.0.0","MMRS33294861ST.27.0.0","MMRS34525504ST.27.0.0","MMRS34569532ST.27.0.0","MMRS35808664ST.27.0.0","MMRS36405092ST.27.0.0","MMRS38861560ST.27.0.0","MMRS38954404ST.27.0.0","MMRS39415781ST.27.0.0","MMRS39582183ST.27.0.0","MMRS40913371ST.27.0.0","MMRS41266697ST.27.0.0","MMRS41711735ST.27.0.0","MMRS42570301ST.27.0.0","MMRS42780924ST.27.0.0","MMRS43563715ST.27.0.0","MMRS43939546ST.27.0.0","MMRS44197125ST.27.0.0","MMRS44203591ST.27.0.0","MMRS44587603ST.27.0.0","MMRS47662059ST.27.0.0","MMRS47685461ST.27.0.0","MMRS48639115ST.27.0.0","MMRS51307502ST.27.0.0","MMRS51410669ST.27.0.0","MMRS51728985ST.27.0.0","MMRS51737257ST.27.0.0","MMRS54246132ST.27.0.0","MMRS54316675ST.27.0.0","MMRS55294627ST.27.0.0","MMRS56137463ST.27.0.0","MMRS57276462ST.27.0.0","MMRS57569834ST.27.0.0","MMRS59699117ST.27.0.0","MMRS61683006ST.27.0.0","MMRS62192467ST.27.0.0","MMRS62376181ST.27.0.0","MMRS62666492ST.27.0.0","MMRS64281211ST.27.0.0","MMRS64281551ST.27.0.0","MMRS65205033ST.27.0.0","MMRS65742083ST.27.0.0","MMRS65862658ST.27.0.0","MMRS65945127ST.27.0.0","MMRS66868025ST.27.0.0","MMRS67096717ST.27.0.0","MMRS67247116ST.27.0.0","MMRS67690541ST.27.0.0","MMRS68630931ST.27.0.0","MMRS68910755ST.27.0.0","MMRS71238091ST.27.0.0","MMRS71762412ST.27.0.0","MMRS72802364ST.27.0.0","MMRS72980899ST.27.0.0","MMRS73787048ST.27.0.0","MMRS77018926ST.27.0.0","MMRS77321055ST.27.0.0","MMRS77487595ST.27.0.0","MMRS78791111ST.27.0.0","MMRS79893829ST.27.0.0","MMRS80093644ST.27.0.0","MMRS81130264ST.27.0.0","MMRS81135225ST.27.0.0","MMRS81194191ST.27.0.0","MMRS81671217ST.27.0.0","MMRS84085284ST.27.0.0","MMRS84159866ST.27.0.0","MMRS84954772ST.27.0.0","MMRS85382779ST.27.0.0","MMRS85438660ST.27.0.0","MMRS85548821ST.27.0.0","MMRS86168210ST.27.0.0","MMRS86178473ST.27.0.0","MMRS86958796ST.27.0.0","MMRS87723283ST.27.0.0","MMRS88581325ST.27.0.0","MMRS90191266ST.27.0.0","MMRS91297590ST.27.0.0","MMRS92544445ST.27.0.0","MMRS92546335ST.27.0.0","MMRS92727331ST.27.0.0","MMRS93508324ST.27.0.0","MMRS93621581ST.27.0.0","MMRS94549160ST.27.0.0","MMRS95277876ST.27.0.0","MMRS95479054ST.27.0.0","MMRS95674036ST.27.0.0","MMRS96422329ST.27.0.0","MMRS97052561ST.27.0.0","MMRS97307143ST.27.0.0","MMRS97327636ST.27.0.0","MMRS99045180ST.27.0.0"
"Criibacterium",0,0,0,0,0,0,0.01862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064,0,0,0,0,0,0,0,0,0,0,0.02305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Filifactor",0,0,0,0,0,0,0,0,0,0,0.00354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter",0.00452,0.06021,0,0,0.01816,0.01774,0,0.47811,0.0043,0.03606,0,0,0,0.0954,0,0.00066,0.01745,0,0.0185,0,0,0,0.1053,0,0.31067,0.00072,0,0.01401,0,0,0,0,0,0,0,0.04482,0,0,0.00667,0.24062,0.01095,0,0.01295,0,0,0.00275,0.10369,0.00963,0,0.0018,0,0,0,0.00996,0.01349,0.33864,0,0.03596,0,0,0.00234,0.03003,0,0.0485,0,0.14017,0,0,0,0,0.18991,0.05129,1.60835,0,0.23013,0,0.00815,0,0,0.10301,0,0,0.02482,0.10936,0.01759,0,0.06609,0,0.00533,0,0.16367,0.01403,0,0,0.06996,0.05784,0.01435,0.13092,0,0,0,0.03778,0,0.01264,0,0.02512,0,0,0.10902,0
"Peptostreptococcus",0,0,0,0,0,0,0.0123,0,0,0,0.00201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089,0.02792,0,0,0,0.00771,0.00025,0,0,0,0,0,0.03739,0.01044,0,0,0,0,0,0,0,0,0,0,0.27297,0,0,0,0,0.00414,0,0,0,0,0,0,0,0,0,0,0.00617,0.04702,0,0,0.0339,0,0,0.14123,0.00988,0,0,0,0,0,0,0,0,0,0,0,0.00333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Romboutsia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087,0,0,0,0,0,0.00301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00078,0,0,0,0,0,0,0,0,0,0,0,0,0.00062,0.00084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terrisporobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemmiger",0.26329,0.34734,0.18361,0.06766,0.09623,0.0357,0.03893,0.03855,0,0,0.16843,0.09038,0.1353,0,0.01312,0.04501,0.07349,0,0.02691,0,0.00565,0.23301,0.05331,0.09446,0.06648,0.61283,0.06014,0.03558,0,0,0.21503,0.04628,0.00602,0.03118,0.07753,0.30085,0,0.04724,0.1784,0,0.06922,0.12453,0.03457,0,0.27426,0.14528,0.11715,0.00325,0.00141,0.06064,0,0,0,0,0,0.21375,0,0.04014,0.15913,0.07273,0.02803,0,0.66883,0.13925,0.03623,0.64816,0,0,0.08832,0.00594,0,0,0.31816,0.22906,0.3639,0.16754,0,0.04178,0.0038,0.03053,0.08641,0.02332,0.10953,0,0.12693,0.06075,0.12151,0,0,0.18574,0,0.08388,0,0.14299,0.6876,0,0.09563,0.00252,0,0.05139,0.0564,0.32184,0.0978,0.28007,0,0.13958,0.09436,0.29976,0.31923,0.05301
"Intestinimonas",0.03853,0.00667,0.00935,0.02166,0.0578,0.01296,1.1653,0,1.46675,0.00539,0,0.04875,0.09548,0,0.14707,0.00012,0.00398,0,0.03903,0.01144,0.03056,0.00319,0,0.01794,0.01841,0.00951,0.09407,0.00035,0.02055,0.13895,0.17353,0.17231,0.00634,0.01375,0.02159,0.0169,0.00742,0.00876,0.00869,0.88745,0.04656,0.01656,0.03514,0,0.02292,0,0.01249,0.25311,0.00899,0.00531,0.0019,0.05978,0.07112,0,0.00095,0,0.05319,0.00067,0,0,0.07267,0,0.03783,0.01849,0.01059,0.00525,0.00024,0.00089,0.17938,0.08414,0,0.12845,0.06351,0.19392,0,0.15835,0.03386,0.00113,0.22493,0,0.16225,0,0.00127,0.02664,0,0.00799,0.03616,0,0.03863,0.06703,0.00901,0.04319,0,0.09898,0.00365,0,0.0312,1.31538,0,0.057,0.11371,0.01515,0.01503,0.0015,0,0.00017,0.00238,0.48095,0.111,0
"Lawsonibacter",0.00771,0.06245,0.10918,0.05523,0.0128,0.17075,0.54595,0.18112,0,0.57154,0.02017,0.13697,0.07219,0.06723,0.03899,0.03441,0.0036,0.96945,0.06582,0.00431,0.01571,0.03187,0.00798,0.04261,0.05795,0.08548,0.05991,0.09715,0.16071,0.44098,0.00675,0.18617,0.19522,0.04594,0.06356,0.15733,0.03371,0.05267,0.02385,9e-04,0.00321,0.23577,0.04258,0,0.00026,0.01275,0.0567,0.0968,0.07447,0.03202,2.06842,0.16902,0.02606,0,0.04771,0.02317,0.04099,0,0.00704,0.02057,0.02402,0.039,0.34609,0.03071,0.03032,0.04734,0.03229,0.01159,0.1783,0.05478,0.01575,0.06404,0,0.18105,0.01622,0.07115,0.05603,0.5894,0.0427,0.0338,0.02395,0.01997,0.00141,0.16163,0.18173,0.01699,0.01462,0,0.07978,0.00933,0.04921,0.2084,0.18395,0.1854,0.06589,1.98111,0.03411,0.11027,5.4347,0.12765,0.08651,0.00415,0.02321,0.01345,0.00546,3.48386,0.02832,0.04035,0.01952,0.17762
"Catenibacterium",0,0,0,0,0,0,0,0,0.01489,0.06325,0,5.63627,0.01134,0,0,0,0,0,0,0,0.01102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01024,0,0,0,0,0,0,0,0,0.03356,0,0,1.6577,0,0,0,0,0,0,0,0.56776,0.7725,0.00398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23162,0,0,0,0,0.90341,0,0,0,0,0,0.30907,0,0,0,0,0,0,0.19984,0.12557,0,0,0.14754,0,0.06851,0,0,0.00436,0,0,0,0,0,0,0
