"","LILT_GF06_16","LILT_GF12_16","LILT_GF15_16","LILT_GF16_T017","LILT_GF17_16","LILT_GF18_T016","LILT_VF00TL_16","LILT_VF02_T016","LILT_VF04_16","LILT_VF06_16","LILT_VF07_16","LILT_VF100_T016","LILT_VF102_T017","LILT_VF107_16","LILT_VF114_T017","LILT_VF120_16","LILT_VF145_T017","LILT_VF154_T017","LILT_VF166_T017","LILT_VF174_T017","LILT_VF176_T017","LILT_VF192_T017","LILT_VF197_T017","LILT_VF29_16","LILT_VF30_16","LILT_VF31_16","LILT_VF32_T016","LILT_VF35_16","LILT_VF37_16","LILT_VF38_16","LILT_VF40_16","LILT_VF43_16","LILT_VF47_16","LILT_VF50_16","LILT_VF55_T017","LILT_VF56_16","LILT_VF60_T016","LILT_VF65_16","LILT_VF66_T017","LILT_VF69_16","LILT_VF70_16","LILT_VF71_16","LILT_VF73_16","LILT_VF77_16","LILT_VF84_16","LILT_VF90_16","LILT_VF95_16","LILT_VF97_16","LILT_VF270_T017","LILT_VF207_T017","LILT_VF234_T017","LILT_VF217_T017","LILT_VF273_T017","LILT_VF208_T017","LILT_VF281_T017","LILT_VF172_T017","LILT_VF216_T017","LILT_VF232_T017","LILT_VF264_T017","LILT_VF251_T017","LILT_VF259_T016","LILT_VF255_T016","LILT_VF170_T016","LILT_VF206_T016","LILT_VF212_T016","LILT_VF214_T016","LILT_VF261_T016","LILT_VF262_T016","LILT_VF263_T016","LILT_VF265_T016","LILT_VF279_T016","LILT_VF300_T016","LILT_VF301_T016","LILT_VF10_T016","LILT_VF140_T016","LILT_VF171_T016","LILT_VF18_T016","LILT_VF189_T016","LILT_VF28_T016","LILT_VF82_T016"
"Actinomycetia",0.00773,2.37414,0.56585,2.87216,1.72257,3.31281,3.31572,5.64078,47.43097,7.44473,2.5162,3.18701,0.05653,1.18117,0.36477,15.0452,0.41338,40.18749,0.10031,2.04779,0,2.67163,0.81388,1.14164,5.49035,44.59164,0.55839,6.97773,0.09605,13.22301,0,0.00357,1.90243,0.08529,0.56654,0.94097,0,0.48783,0.01595,8.12132,0,0.10184,2.04569,1.00326,0.05496,0.04292,0.09122,0.17247,1.09224,0.08969,1.41064,0.37377,1.12598,0.09382,0.10223,0.18127,0.15925,0,0.37444,1.12618,0.37958,4.32275,0,0.52221,1.95402,26.03157,0.84704,8.80382,14.97574,0.68942,0.02305,6.03661,5.34479,8.26086,5.86888,2.98788,5.43674,19.5627,1.39596,0.23544
"Coriobacteriia",0.72615,0.17016,0.63327,1.61671,0.94946,68.2851,2.72015,1.0555,3.9908,1.31275,5.11951,1.64658,0.22628,4.47122,0,0.84439,0.68923,0.00266,2.27901,0.56216,0.34218,0.40935,0.15624,0.74628,2.1066,2.34011,2.43923,1.33649,6.82823,2.77765,0.17187,0.02364,3.18123,0.8198,0.81108,0.46589,0.06728,0.43398,4.7537,7.06278,0.10118,0.13399,0.48367,0.19578,0.01982,0.39139,1.09203,0.02234,0.8081,1.14246,0.57316,0,0.19615,0,0.4277,0.19399,0,0.14977,0.84502,0.27787,0.50064,0.81957,0.24612,0.00069,0.26473,0,0.49453,7.39843,9.13019,2.23949,0.04252,1.29916,1.41691,1.72857,0.75852,4.72208,1.76194,5.66391,1.02819,0.6166
"Bacteroidia",0.32076,78.47547,65.54263,84.9476,61.03021,1.65948,31.53578,79.4083,8.15644,54.07205,47.73972,55.87125,61.76001,23.2796,47.16734,37.10342,70.22761,0.01366,50.27433,83.98786,74.9621,42.60283,71.96661,48.47256,36.77052,19.22973,70.13758,76.61487,6.10866,42.54075,54.90678,91.3144,58.31758,65.90722,81.60738,46.02786,76.01699,68.49221,43.29264,21.12775,82.05387,47.47513,38.35702,66.42006,63.44109,66.59154,84.99573,46.39619,50.84462,45.18249,58.50604,65.22049,67.30991,0.00427,86.72316,87.82869,0,92.45092,77.4058,78.75764,66.57312,28.07251,42.81811,54.25225,54.33822,0,85.42018,33.00195,27.82611,65.32595,87.09525,38.37655,39.70434,42.89051,27.63296,31.35663,80.43901,36.34918,47.50471,94.30559
"Chitinophagia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191,0,0,0,0,0,0,0,0,0,0,0.00515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavobacteriia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01621,0,0,0,0.00804,0,0.00033,0,0,0,0,0.01029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malasseziomycetes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacilli",0.0053,0.0032,0.05088,0.02011,0.00284,2.40715,0.03125,0.16571,1.40974,0.22094,0.12291,1.15579,0.00568,2.24769,0,0,0,1.2552,0.22782,0,0,0,0.01993,0,0.0308,0.00934,0,0,0,0.79523,0.06871,0,0.03908,0,0.00269,0.00787,0,0.04261,0,0.15771,0,0.02607,0.00465,0,0.48719,0.0314,0.07582,1.89562,0.0076,0.0085,0.00303,2.41635,0.01001,1.18501,0,0,0.25741,0.02089,0.01618,0,0.01612,0.10228,0,5.01554,0.08691,0.0836,0.00128,0.03028,0.0235,0,0,3.23214,1.96675,0,0.0016,2.49538,0.00115,0,0,0
"Clostridia",35.86942,18.15886,27.85283,8.13358,24.0783,20.04241,55.16558,11.28568,25.60671,16.55955,35.21405,25.58088,32.13289,57.90025,8.26544,32.8044,27.07432,0.05056,6.16371,8.2602,18.67729,37.48718,20.16556,37.48212,38.78081,20.71289,17.44133,11.69827,43.9661,35.31045,38.45852,4.45267,21.97579,27.17921,8.65604,6.17671,18.19686,4.24429,10.08475,51.28542,15.81736,25.2012,42.95988,20.54379,32.53007,29.39869,8.09808,28.89713,40.30243,42.8656,25.79395,9.87786,9.02143,0,7.87056,4.66694,0,4.93175,19.66032,15.89935,10.37633,57.9458,45.67162,35.68593,33.87791,1.20493,8.12354,42.67821,39.34638,27.31243,4.10276,32.92253,27.70152,13.75114,57.19144,50.86027,6.26777,33.24212,35.46275,2.37685
"Erysipelotrichia",0.01015,0.01758,0.07201,0.00421,0.30133,0.00685,0.16081,0.05261,0.0021,0.07707,0.04207,0,0.01045,0.23749,0,0.00227,0.00698,0,0.08515,0.00161,0.05577,0.03076,0.05398,0,0.176,0,0.00776,0.00102,0.1322,0,0,0,0,0.06225,0.23479,0.00497,0.03228,0.15847,0,0.01894,0,0.12223,0.00541,0.01712,0,0.48621,0,0,0.04682,0.06693,0.10183,0.02067,1.26059,0,0.00568,0,0,0.0037,0.13943,0,0.09115,0,0.03834,0,0,0,0,0,0,0.0206,0,0,0,0,0,0.02293,0.00085,0,0.00025,0
"Negativicutes",0,0.19726,2.02378,1.48913,3.45258,0.10857,3.29246,0.42595,3.30491,0.41099,6.49369,4.78755,0.35521,0.27331,4.06795,3.2738,0.06961,0,5.29457,2.30845,1.9758,1.28818,1.80429,1.70821,1.59392,0,4.14133,1.74273,0.22803,0.45608,1.17548,0.10975,0.23043,0.52393,0.22259,1.31107,2.45838,0,38.93881,4.94235,0.09989,1.19043,0.83733,0.67244,0.57867,0.06685,0.00374,0.31696,2.28685,0.12414,0.02081,0,0.62924,0,0.69018,6.59788,0,0.53021,0.12339,1.98322,11.29232,6.86969,1.93266,4.52312,0.32247,0.69836,0.6773,7.52472,7.95607,0.30247,7.03948,3.57986,3.47038,0.28832,1.19516,5.95123,2.05512,1.20979,1.7657,0.81864
