"","LILT_GF06_16","LILT_GF12_16","LILT_GF15_16","LILT_GF16_T017","LILT_GF17_16","LILT_GF18_T016","LILT_VF00TL_16","LILT_VF02_T016","LILT_VF04_16","LILT_VF06_16","LILT_VF07_16","LILT_VF100_T016","LILT_VF102_T017","LILT_VF107_16","LILT_VF114_T017","LILT_VF120_16","LILT_VF145_T017","LILT_VF154_T017","LILT_VF166_T017","LILT_VF174_T017","LILT_VF176_T017","LILT_VF192_T017","LILT_VF197_T017","LILT_VF29_16","LILT_VF30_16","LILT_VF31_16","LILT_VF32_T016","LILT_VF35_16","LILT_VF37_16","LILT_VF38_16","LILT_VF40_16","LILT_VF43_16","LILT_VF47_16","LILT_VF50_16","LILT_VF55_T017","LILT_VF56_16","LILT_VF60_T016","LILT_VF65_16","LILT_VF66_T017","LILT_VF69_16","LILT_VF70_16","LILT_VF71_16","LILT_VF73_16","LILT_VF77_16","LILT_VF84_16","LILT_VF90_16","LILT_VF95_16","LILT_VF97_16","LILT_VF270_T017","LILT_VF207_T017","LILT_VF234_T017","LILT_VF217_T017","LILT_VF273_T017","LILT_VF208_T017","LILT_VF281_T017","LILT_VF172_T017","LILT_VF216_T017","LILT_VF232_T017","LILT_VF264_T017","LILT_VF251_T017","LILT_VF259_T016","LILT_VF255_T016","LILT_VF170_T016","LILT_VF206_T016","LILT_VF212_T016","LILT_VF214_T016","LILT_VF261_T016","LILT_VF262_T016","LILT_VF263_T016","LILT_VF265_T016","LILT_VF279_T016","LILT_VF300_T016","LILT_VF301_T016","LILT_VF10_T016","LILT_VF140_T016","LILT_VF171_T016","LILT_VF18_T016","LILT_VF189_T016","LILT_VF28_T016","LILT_VF82_T016"
"Aeromonadales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387,0,0
"Enterobacterales",38.74306,0.4181,0.05408,0.03412,2.34763,1.75787,0.92899,0.20502,10.02393,3.239,0.01984,0.18769,0.17176,8.1851,34.43511,2.35365,0.94877,54.90981,0.30932,0.01382,0.06852,4.52391,3.31938,0.04925,4.32921,0.00841,0.01345,0.02718,4.11185,0.01748,0,4.05604,11.78435,0.18958,0.06537,42.06922,0,5.21576,0,1.20368,0,25.54747,3.57495,0.14609,1.01891,2.62148,4.71332,18.71777,2.12599,3.86352,8.00351,21.25053,10.99297,98.71522,0.9464,0.0037,99.56863,0.79069,0.06362,0.46717,4.55186,1.02302,0,0,0.03965,71.93084,0.34287,0.00146,0,0,0.02321,13.16944,19.37242,0.22049,0.90729,1.45871,0.00113,0.41614,0.03649,0.00375
"Moraxellales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasteurellales",0,0,0,0,0,0,0,0.00566,0.00768,0,0,0,0,0.43441,0,0,0,0.01709,0,0,0,0.11927,0,0,0,0,0,0,0,0.02273,0,0.01361,0.13889,0,0,0,0,1.21335,0,0.30918,0,0,0.00728,0.02364,0.01169,0.00726,0,2.60945,0,0.04927,0,0,0,0,0,0,0.01472,0.00229,0,0,0,0.12611,0,0,0,0,0,0.01806,0.016,0,0,0.09358,0.12578,0,0,0.02572,0.00347,0.00066,0.00518,0
"Pseudomonadales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01615,0,1.17726,0.61369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5321,0,0,0,0,0,0.03076,0,0,0,0.05794,0,0,0,0.83759,7.50666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00011,0,0,0,0
"Brachyspirales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistales",0.12964,0,0,0,0.00295,0.01252,0,0,0,0.00259,0.00519,0.03102,0,0.00286,0.92223,0,0.00162,0,32.24965,0,0,0.48733,0.11733,0,0.00115,0,0,0,0.00106,0,0,0,0,0,0,0,0,2.72059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07136,0.02325,0,0,0,0,0.01424,0,0,0,0,0,0.48439,0.23871,0.02973,0,0.0059,0.02802,0,0,0,0.08525
"Opalinata",0,0,0,0,0,0,0,0.78056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown",0.52137,0,0,0.26456,1.88906,0.43209,2.50303,0.4425,0,0.48168,1.91872,1.0015,3.88745,0,1.48411,3.02773,0.15527,0,0,0.12334,0.30095,0,0.19625,1.37472,10.61613,1.22083,2.75864,1.45343,1.21398,0.83202,3.81773,0,2.26227,4.76077,6.93094,0,0.02495,2.91618,1.61539,1.0965,0.34863,0,4.69451,1.82832,1.35394,0.00874,0.60658,0.66756,1.26288,5.77917,0.39113,0,0.10792,0,2.32836,0.00886,0,1.10045,0.15516,1.40697,3.94956,0.66254,5.04876,0,0.27985,0,3.26811,0.38114,0.48795,0.22181,0.0146,0.13355,0.05161,2.73716,6.33378,0,0.38952,2.98082,1.78374,0.41537
"Verrucomicrobiales",23.66551,0.18524,2.85561,0.40494,0,0.0064,0.00686,0,0,15.66149,0,3.6591,0.14213,0.29683,2.90744,2.23572,0,0,0,2.59982,0,8.53086,0,6.64223,0,6.67213,0,0,36.78114,0,0,0,0,0.02883,0,1.22567,0,9.37244,0,0,1.54838,0,6.61653,8.50146,0.43015,0,0,0,0,0.04897,4.21262,0,0,0,0,0,0,0,0.00944,0,1.32267,0,0.57783,0,7.03657,0,0,0,0,0.52322,0,0,0,29.93876,0,0.02118,0.04887,0,8.29333,0.91603
