"","LILT_GF06_16","LILT_GF12_16","LILT_GF15_16","LILT_GF16_T017","LILT_GF17_16","LILT_GF18_T016","LILT_VF00TL_16","LILT_VF02_T016","LILT_VF04_16","LILT_VF06_16","LILT_VF07_16","LILT_VF100_T016","LILT_VF102_T017","LILT_VF107_16","LILT_VF114_T017","LILT_VF120_16","LILT_VF145_T017","LILT_VF154_T017","LILT_VF166_T017","LILT_VF174_T017","LILT_VF176_T017","LILT_VF192_T017","LILT_VF197_T017","LILT_VF29_16","LILT_VF30_16","LILT_VF31_16","LILT_VF32_T016","LILT_VF35_16","LILT_VF37_16","LILT_VF38_16","LILT_VF40_16","LILT_VF43_16","LILT_VF47_16","LILT_VF50_16","LILT_VF55_T017","LILT_VF56_16","LILT_VF60_T016","LILT_VF65_16","LILT_VF66_T017","LILT_VF69_16","LILT_VF70_16","LILT_VF71_16","LILT_VF73_16","LILT_VF77_16","LILT_VF84_16","LILT_VF90_16","LILT_VF95_16","LILT_VF97_16","LILT_VF270_T017","LILT_VF207_T017","LILT_VF234_T017","LILT_VF217_T017","LILT_VF273_T017","LILT_VF208_T017","LILT_VF281_T017","LILT_VF172_T017","LILT_VF216_T017","LILT_VF232_T017","LILT_VF264_T017","LILT_VF251_T017","LILT_VF259_T016","LILT_VF255_T016","LILT_VF170_T016","LILT_VF206_T016","LILT_VF212_T016","LILT_VF214_T016","LILT_VF261_T016","LILT_VF262_T016","LILT_VF263_T016","LILT_VF265_T016","LILT_VF279_T016","LILT_VF300_T016","LILT_VF301_T016","LILT_VF10_T016","LILT_VF140_T016","LILT_VF171_T016","LILT_VF18_T016","LILT_VF189_T016","LILT_VF28_T016","LILT_VF82_T016"
"Dielma",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05398,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00846,0,0,0,0,0,0,0,0,0.00849,0,0,0,0,0.07139,0,0,0,0,0,0,0,0.06159,0,0.00478,0,0.03834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridium",0.01015,0.01758,0,0,0,0.00221,0,0,0.0021,0,0,0,0,0.23749,0,0,0,0,0.00843,0,0,0,0,0,0.00337,0,0,0,0.06167,0,0,0,0,0,0,0.00497,0,0,0,0,0,0.11871,0,0,0,0.47772,0,0,0,0,0.03044,0.02067,0,0,0.00231,0,0,0,0,0,0.01373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01657,0,0,0,0
"Faecalicoccus",0,0,0,0,0,0.00464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holdemanella",0,0,0,0,0,0,0,0,0,0.07146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holdemania",0,0,0.06858,0.00421,0.30133,0,0.16081,0,0,0,0.04207,0,0.01045,0,0,0.00227,0.00698,0,0.0061,0.00161,0.05577,0,0,0,0.01652,0,0.00776,0.00102,0,0,0,0,0,0.06225,0.23479,0,0.02382,0.14113,0,0,0,0.00352,0.00541,0.00131,0,0,0,0,0.04682,0.06693,0,0,0,0,0,0,0,0.0037,0.07784,0,0.04645,0,0,0,0,0,0,0,0,0.0206,0,0,0,0,0,0,0.00085,0,0.00025,0
"Solobacterium",0,0,0,0,0,0,0,0.0318,0,0,0,0,0,0,0,0,0,0,0.07062,0,0,0.03076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00492,0,0,0,0,0,0,0,0,1.26059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turicibacter",0,0,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus",0,0,1.25121,0,3.00091,0,0,0,0,0,0,0.06006,0,0,4.06795,0,0,0,0,1.82535,0,1.21733,0,0,1.40558,0,0,0,0.01599,0,0,0.00454,0,0,0,0,0,0,38.40706,4.22881,0.09243,0,0,0,0,0,0,0,2.28685,0,0,0,0,0,0.39845,0,0,0.49433,0,0,7.00442,0,0,0,0,0,0,0,0,0,6.65269,1.02937,1.08079,0,0,4.81635,1.72084,1.08304,0,0.45774
"Phascolarctobacterium",0,0,0,0.08723,0,0.03517,3.29246,0.04991,0,0.39721,3.09234,4.54486,0,0.10004,0,3.042,0,0,0,0,1.9758,0,1.80429,1.70821,0,0,4.14133,1.74273,0.00595,0.04101,1.17548,0.0709,0,0.52393,0.21081,0,2.45838,0,0.53175,0,0,0,0.83733,0.67244,0.47667,0,0,0,0,0,0,0,0,0,0.29173,0,0,0,0,0,4.2879,0,1.93266,0,0,0,0,0,0,0,0,1.03314,0.86245,0.07692,0,0,0.16439,0,1.7657,0.24634
"Megamonas",0,0,0.00739,0,0,0.01683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06318,0,0,0,0,0,0,0,0,0.11456
"Mitsuokella",0,0,0,0,0,0,0,0.0174,0,0,3.40135,0.13899,0,0,0,0.18065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02718,0,0,0,1.22462,0,0,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Selenomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00099,0,0,0,0,0.68634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00047,0,0,0
"Allisonella",0,0,0,0,0,0,0,0,0,0,0,0.01072,0,0,0,0.05115,0,0,0,0.00201,0,0,0,0,0,0,0,0,0,0,0,0,0.01584,0,0,0,0,0,0,0.01126,0.00746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05235,0,0.19558,0,0,0,0,0,0.22222,0.31651,0,0.00048,0.09926,0.06716,0,0,0,0,0,0,0
"Anaeroglobus",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042,0,0,0,0,0.06523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08517,0,0,0,0
"Dialister",0,0.19726,0.37127,1.4019,0.44488,0,0,0.3022,1.97433,0.01378,0,0,0.29762,0,0,0,0.06961,0,4.543,0.1433,0,0.07085,0,0,0.18834,0,0,0,0.20609,0.38835,0,0,0.21096,0,0,0.00493,0,0,0,0.68138,0,0,0,0,0,0.02703,0,0,0,0.10322,0.01843,0,0,0,0,6.59788,0,0.00423,0.12339,1.93087,0,6.33712,0,4.52312,0.32247,0,0.6773,7.28191,7.61689,0.30247,0.32313,0,0,0.2114,1.19516,0.33476,0.0789,0.0917,0,0
"Megasphaera",0,0,0.39391,0,0,0,0,0,1.13495,0,0,0.02224,0,0.00847,0,0,0,0,0,0.33779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00497,0,0.0635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0611,0.07639,0,0,0.0028,0,0,0,0
"Negativicoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella",0,0,0,0,0.00679,0.05657,0,0.05644,0.19563,0,0,0.01068,0.05759,0.15961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02672,0,0.00713,0.00363,0,0.01178,0.08152,0,0,0,0.0209,0,1.19043,0,0,0,0.03485,0.00374,0.25346,0,0.02092,0.00238,0,0,0,0,0,0,0.03165,0,0,0,0.33699,0,0,0,0.69836,0,0.02059,0.02267,0,0,1.35699,1.38359,0,0,0.71215,0.09052,0.03505,0,0
"Parvimonas",0,0,0,0,0,0,0,0.10196,0,0,0,0,0,0.04764,0,0.00073,0,0,0.28856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptoniphilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium",0,0,0,0,0,0,0,0,0,0,0,0.03774,0,0.11791,0,0,0,0,0.69962,0,0.26759,0.00445,0,0,0,0,0,0,0,0,0,0,0,0,0.00498,0,0.40615,0,0,0,0,0,0,0,0,0,0,0,0,0.15605,0,0,0.08421,0,0.0059,0,0,0,0,0,0,0,0,0,0,0,0.36444,0,0,0,0,0,0,0,0,0,0,0,0,0
"Victivallis",0,0,0.04904,0.05245,0,0,0,0.31928,0,0,0.02579,0,0.82429,0,0,0,0,0,0,0,0.13349,0,0.09405,0,0,0.17088,0.1131,0.10933,0,0,0,0,0,0,0,0,0.17511,0,0,0,0,0,0,0.08355,0,0,0,0,0,0,0.05082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20762,0,0
"Enhydrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ralstonia",0,0,0,0,0,0.19945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comamonas",0,0,0,0,0,0,0.0113,0,0,0,0,0.02915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,0,0,0,0,0.14486,0.04843,0,0,0,0,0,0,0
"Oxalobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00675,0.43316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
