"","LILT_GF06_16","LILT_GF12_16","LILT_GF15_16","LILT_GF16_T017","LILT_GF17_16","LILT_GF18_T016","LILT_VF00TL_16","LILT_VF02_T016","LILT_VF04_16","LILT_VF06_16","LILT_VF07_16","LILT_VF100_T016","LILT_VF102_T017","LILT_VF107_16","LILT_VF114_T017","LILT_VF120_16","LILT_VF145_T017","LILT_VF154_T017","LILT_VF166_T017","LILT_VF174_T017","LILT_VF176_T017","LILT_VF192_T017","LILT_VF197_T017","LILT_VF29_16","LILT_VF30_16","LILT_VF31_16","LILT_VF32_T016","LILT_VF35_16","LILT_VF37_16","LILT_VF38_16","LILT_VF40_16","LILT_VF43_16","LILT_VF47_16","LILT_VF50_16","LILT_VF55_T017","LILT_VF56_16","LILT_VF60_T016","LILT_VF65_16","LILT_VF66_T017","LILT_VF69_16","LILT_VF70_16","LILT_VF71_16","LILT_VF73_16","LILT_VF77_16","LILT_VF84_16","LILT_VF90_16","LILT_VF95_16","LILT_VF97_16","LILT_VF270_T017","LILT_VF207_T017","LILT_VF234_T017","LILT_VF217_T017","LILT_VF273_T017","LILT_VF208_T017","LILT_VF281_T017","LILT_VF172_T017","LILT_VF216_T017","LILT_VF232_T017","LILT_VF264_T017","LILT_VF251_T017","LILT_VF259_T016","LILT_VF255_T016","LILT_VF170_T016","LILT_VF206_T016","LILT_VF212_T016","LILT_VF214_T016","LILT_VF261_T016","LILT_VF262_T016","LILT_VF263_T016","LILT_VF265_T016","LILT_VF279_T016","LILT_VF300_T016","LILT_VF301_T016","LILT_VF10_T016","LILT_VF140_T016","LILT_VF171_T016","LILT_VF18_T016","LILT_VF189_T016","LILT_VF28_T016","LILT_VF82_T016"
"Microcoleaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcaceae",0,0.0032,0.02281,0,0,1.9518,0,0,0,0.00652,0.04751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aerococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.05967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00953,0,0.4754,0,0,0.04997,0,0,0,0,0,0,0,0,0.00885,0,0,0,0,0,0.00413,0,0,0,0,0,0,0,0
"Carnobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00168,0,0,0,0.00308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcaceae",0,0,0,0,0,0.05209,0,0,0,0,0,0,0,0,0,0,0,1.24414,0,0,0,0,0,0,0,0,0,0,0,0,0.04281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.40195,0,0.70961,0,0,0.03069,0,0,0,0.00171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillaceae",0.00443,0,0,0.00155,0,0.00038,0.00907,0,0.00419,0.07781,0,0,0,0.00431,0,0,0,0,0,0,0,0,0.01115,0,0,0,0,0,0,0.21513,0,0,0,0,0,0,0,0,0,0.05045,0,0,0,0,0,0,0,0.03976,0,0,0,0.00335,0,0,0,0,0.11712,0,0.01618,0,0,0.00516,0,4.12522,0.08691,0.07475,0,0.01017,0.00081,0,0,0,0,0,0,0.22661,0,0,0,0
"Streptococcaceae",0.00087,0,0.02629,0.01856,0.00284,0.3466,0.02218,0.15093,1.40555,0.13661,0.0754,1.15579,0.00568,2.13366,0,0,0,0.00506,0.04587,0,0,0,0.00878,0,0.0308,0.00934,0,0,0,0.5801,0.0259,0,0.03617,0,0.00269,0.00787,0,0.04261,0,0.10726,0,0.02607,0,0,0.48719,0.0314,0.07337,1.85234,0.0076,0.0085,0.00303,0.00152,0,0,0,0,0.05681,0.02089,0,0,0.01441,0.09712,0,0.89032,0,0,0,0.02011,0.02269,0,0,3.22801,1.96675,0,0.0016,2.26877,0,0,0,0
"Christensenellaceae",0,0,0,0,0,0.13089,0,0,0,0,0,0,0,0,0,0,0,0,0.11691,0,0,0,0,0,0,0,0,0,0.26225,0.00307,0,0,0,0,0,0,0,0.03098,0,0,0,0,0,0,0,0,0,0,0,0.00191,0.00807,0,0.18349,0,0,0,0,0,0.04184,0.00188,0,0,0,0,0,0,0,0.00254,0.00555,0,0,0,0,0,0,0.00596,0.00525,0.00425,0.00513,0
"Clostridiaceae",0.71101,0.045,0.10031,0,0.04835,0.09425,0.01179,0,0.16909,0,0,0.25187,0.07799,0.14418,0.21188,0.1971,0.24177,0,0.89045,0.27166,0.07983,1.47355,0.00381,0.22737,0.68699,0,0.33563,0,0.0172,0.06774,0,0,0.38871,0.17541,0.25058,0.00178,0.09814,0.01915,0.00279,0,0.05281,0.00097,0.37046,0.14226,0.96218,0,0.04281,0.06764,0.67192,0.00041,0.32046,0,0.52162,0,0.44602,0.00818,0,0.25577,0.49481,0.43301,3.1063,1.45566,0.52057,0.04788,0,0,1.24811,0.2795,0.24885,0.14477,0.12065,0.03159,0.01993,0.00153,0,0.12744,0,0.1425,0.25732,0.06581
"Eubacteriaceae",0,0.01644,7.63444,0.00477,0.2488,0.2042,2.70276,0.01304,0,0.03203,1.26816,0.10534,0.65667,0.14572,0.17344,2.77021,4.44902,0,0.08177,0.01156,0.22888,8.77554,0.06033,8.4272,0.06941,0.34511,4.8695,0.21265,0.00415,0.25454,5.22473,0.17812,0.09811,0.34785,0.2753,0,0.30918,0.01105,0.10611,3.0229,2.60778,0,0.29795,1.43302,0.72413,0.07464,0.11943,0.05193,11.3631,0,0.02738,2.42667,0,0,0.00301,0.00652,0,0.70438,0.51366,0.54549,0.01788,7.3107,0.76647,1.84299,0.31861,0,0,6.22882,5.69666,0.17083,0.00416,2.21423,1.46174,4.25545,0.03573,0.01744,0,1.53839,8.7142,0
