"","MG100208","MG100207","MG100206","MG100205","MG100204","MG100203","MG100202","MG100201","MG100200","MG100199","MG100198","MG100196","MG100195","MG100194","MG100193","MG100192","MG100191","MG100190","MG100189","MG100188","MG100187","MG100186","MG100185","MG100184","MG100182","MG100181","MG100180","MG100179","MG100178","MG100177","MG100176","MG100175","MG100174","MG100173","MG100172","MG100171","MG100170","MG100169","MG100168","MG100167","MG100166","MG100165","MG100164","MG100163","MG100162","MG100161","MG100160","MG100159","MG100158","MG100157","MG100156","MG100155","MG100154","MG100153","MG100152","MG100151","MG100150","MG100149","MG100148","MG100147","MG100146","MG100145","MG100144","MG100143","MG100142","MG100141","MG100140","MG100139","MG100138","MG100137","MG100136","MG100134","MG100133","MG100132","MG100131","MG100130","MG100129","MG100128","MG100127","MG100126","MG100125"
"Actinomycetales",0,0.13054,0,0.31258,0,0,0,0.10096,0.15577,0.16767,0,0.03049,0.04432,0,0,0,0.59202,0.01159,0,0,0,0,0,0.00609,0.08437,0,0.26716,0,0.01351,0,0.0123,0.12066,0,0.07208,0.00672,0,0,0,0.3418,0.07999,0.08172,0,0,0,0,0.4137,0,0.02353,0,0,0,0.02999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01269,0,0,0,0.01624,0.47263,0.26894,0.02895,0,0,0,0.04663,0,0.14115
"Bifidobacteriales",0,0,35.80953,0.0297,2.75269,6.60309,19.12423,0,0,0.01421,2.95713,34.13463,1.73683,0,14.5368,0,0,0,0,0,78.20376,0,1.61666,20.44854,1.89656,0,1.71099,0,7.99503,13.19574,0,30.04766,0,6.56474,0.26945,0,6.77621,41.13176,57.77258,4.37116,0,0.06908,0,36.43415,14.23225,14.87207,10.13531,0,0.70755,48.21434,14.66715,4.32924,0,0,6.58672,7.31025,0.32433,27.22602,29.73815,28.31648,4.90697,2.43378,1.77361,6.09727,0,0.74203,4.03215,4.56578,0,13.43161,0,0,16.72464,0,46.59807,4.12886,12.62047,3.10217,9.31638,0,8.0156
"Corynebacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcales",0,0,0,0.06244,0,0,0,0,0,0,0,0,0.49265,0,0.08573,0,0.11536,0,0,0,0,0,0,0,0,0,0.08592,0,0,0,0,0.17424,0,0.10335,0,0,0,0,0.00274,0,0,0,0,0,0,0,0,0.08909,0,0.00798,0,0,0,0,0,0,0,0,0.11432,0.00934,0.04257,0,0,0,0,0,0,0,0,0,0,0,0,0.09093,0,0,0,0,0,0.56125,0.24743
"Propionibacteriales",0,0,0,0,0,0.03163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03334,0.01914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18189,0,0
"Coriobacteriales",2.08693,21.49267,21.25243,21.08656,16.93242,9.07183,2.96648,21.24215,3.98278,5.4657,10.60103,0,7.48624,0,6.79421,0.01246,0,0.12558,25.59702,0.18291,21.79624,0,5.65428,12.54603,22.64823,0,11.44491,6.60954,26.93297,0,8.27028,20.46834,3.61273,12.37586,5.86225,1.69178,5.20712,12.60195,0,11.05185,0,0,3.33886,0.40298,33.75626,28.27539,0.13989,0,0,14.55739,0,24.65751,0,0,12.65708,12.64044,0.06475,0,0,7.53837,25.8277,0.1039,0,7.2417,0,2.51071,3.38207,0,0,6.72355,7.74294,6.3059,11.78315,14.83331,14.34263,2.05688,10.89213,47.45119,10.11011,7.05855,3.00173
"Eggerthellales",13.4771,1.38902,0.07977,1.44597,0.73033,0.33484,0.27276,5.24087,8.95595,4.52279,1.28768,3.41266,2.26287,1.22526,0.43436,3.79332,7.17823,4.38601,1.56631,1.16206,0,5.33314,0.03647,3.76592,1.44343,7.87811,1.6019,8.59328,2.79557,4.13708,1.33314,1.35799,0.01682,0.50316,1.48838,0.34118,3.56137,0.47732,0.76282,0.26326,5.5151,0.18334,0,0,2.46288,2.00385,1.37876,3.00588,1.59384,1.67894,5.24015,2.45816,4.03537,1.4219,2.10583,1.45833,0.6027,0.89621,3.89696,0.10711,2.00556,2.32172,0.24969,0.25434,0,0.71456,0.21905,0.60189,0.66344,3.74062,0.68353,4.61081,1.61254,17.70924,2.40889,0.14698,0.94625,5.35874,1.27125,1.54962,0.64432
"Bacteroidales",7.10134,0.0484,0.16561,1.28975,3.5353,1.27015,1.89787,5.9227,26.30885,1.43312,8.90468,0,0,0,1.0435,2.77896,0,0.8478,1.10791,8.03366,0,0.02893,32.15239,0.00597,0.33565,3.49787,0.51825,8.56507,8.75144,0.45345,10.82542,0.033,1.76906,0.30447,0.10291,8.1177,11.51952,10.47653,0.20565,5.22502,4.17025,74.86935,0.73692,0,0.87949,5.98414,3.61463,0.84934,17.84361,0.48423,0.00732,0,0.02393,4.95766,1.39926,0.84781,0.33901,0.09164,0.34262,0.15423,0.53845,3.25413,2.0803,13.02868,0,0.83973,8.22152,0,2.93842,0.15194,0,10.75926,6.6173,31.57109,0,6.35151,3.09039,1.86303,0,1.47017,0.78345
"Methanobacteriales",0,0,1.91264,0,2.12088,5.47584,0,0.43448,0,0,0,0,0,0,0,7.58714,0,0,0,1.63169,0,0,4.1816,0,0,3.08407,0.01009,3.23825,0,0,0,0.04154,3.99734,0,0,0,0,1.76247,0,0.35803,0,0,3.63518,0,0,0,0,0,0,0,0,0,0,0,4.88678,0,0,0,0,0.16822,0,0,0,0,0,1.0564,0,0,8.56939,0.40508,0,0,0,0.10064,0,3.61987,0,2.06922,0,2.65387,0
"Bacillales",0,0,0,0.06488,0,0,0,0,0,0,0,0,0.053,0,0,0,0.29069,0,0,0,0,0,0,0,0,0,0.01619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02724,0,0,0.01017,0,0,0,0,0,0,0,0,0,0.11875,0,0,0,0,0,0,0,0.07843,0.04752
