"","MG100208","MG100207","MG100206","MG100205","MG100204","MG100203","MG100202","MG100201","MG100200","MG100199","MG100198","MG100196","MG100195","MG100194","MG100193","MG100192","MG100191","MG100190","MG100189","MG100188","MG100187","MG100186","MG100185","MG100184","MG100182","MG100181","MG100180","MG100179","MG100178","MG100177","MG100176","MG100175","MG100174","MG100173","MG100172","MG100171","MG100170","MG100169","MG100168","MG100167","MG100166","MG100165","MG100164","MG100163","MG100162","MG100161","MG100160","MG100159","MG100158","MG100157","MG100156","MG100155","MG100154","MG100153","MG100152","MG100151","MG100150","MG100149","MG100148","MG100147","MG100146","MG100145","MG100144","MG100143","MG100142","MG100141","MG100140","MG100139","MG100138","MG100137","MG100136","MG100134","MG100133","MG100132","MG100131","MG100130","MG100129","MG100128","MG100127","MG100126","MG100125"
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17802,5.37786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04062,0,0,0,0,9.90245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51714,0,0,0,0,0,0,10.33778,0,0,0,0,0,3.36484
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens",0.50165,21.49267,20.62783,21.07652,16.93242,9.07183,2.96648,21.24215,3.98278,5.4657,10.60103,0,7.39606,0,6.79421,0,0,0.12558,25.59702,0,21.79624,0,5.65428,12.54603,21.90908,0,11.44265,6.60954,26.92896,0,8.27028,20.45906,3.61273,12.07997,3.85769,1.69178,5.20712,12.29192,0,11.05185,0,0,3.33886,0.40298,33.75626,28.27539,0.09829,0,0,14.52144,0,24.65751,0,0,12.65708,12.63534,0,0,0,0.32907,25.82039,0.1039,0,7.2417,0,2.51071,3.38207,0,0,6.72355,7.74294,6.3059,11.78315,14.82497,14.33304,2.05688,10.89213,47.44618,10.11011,7.05855,3.00173
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_obeum",22.88118,1.02622,0.41094,0,4.48786,1.02062,0.20313,3.37095,11.7839,3.77548,1.04321,0,0.16536,1.14888,1.18148,6.92716,10.07766,0.02989,6.7101,2.07686,0,0,0,1.85031,4.112,6.09117,1.13665,0.84953,0.66032,4.77952,0.56884,1.03655,0.3847,1.61043,1.79057,0.28263,1.02956,0,0,1.19184,3.02766,0,0.33715,0,13.68975,2.38164,3.37802,4.00681,0,0.01534,3.18685,0.73795,0.54245,3.42124,2.14175,0,0.46564,0,0,0,2.43782,0,0.68147,0.96601,0,1.25819,0.39277,0,1.18587,1.77348,0,1.81552,0.52543,5.7923,1.50721,6.46516,0,8.09896,1.04219,0,2.53016
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_CAG_471",0,0,0,0,0.0055,0,0.01643,0,0,0,0,0.01875,0.02589,0,1.0621,0,0,0,0.00629,0,0,0,0,0,0,0,4.59581,0,0.00237,0.02956,0,0,0.66863,0,0.02564,1.07861,0,0,0,0,0,0,0.44712,0,0,0,0.02725,0.0512,0,3.35987,0,0.04941,0.25198,0.02233,0.03228,0,0,0,0,0,0.0198,0.01036,0,0,0,0.83523,0,0,0.00408,0,0,0.3996,0,0,0.02439,0,0,0.20693,0.0056,0,2.42697
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis",0,0.16928,0,2.00162,0.36724,0,0,0.09369,2.71388,0,0.00784,0,5.05664,0,1.12969,0,10.2681,0,0.24689,1.57135,0,0,0,0.07842,0.28773,0.01363,2.01982,0.20145,0.05666,0,0.13287,0.26772,0,0.19054,0.00643,0,0.19352,0.49073,0.285,0.29361,0.09912,0.07331,0,0,0.06174,0.13995,0,1.02535,0.03863,0.12437,0,0.16184,5.89457,0.09556,0.16457,0.02215,0,0,1.30195,0.0246,0.42727,0,0.01193,0,0,0,0,1.19548,0,0,0.01059,0.22339,0,0.17057,0.17039,0.00475,0,0,0,10.30717,2.34791
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius",0,0.06936,0,1.78393,1.74127,0,0.61233,0.05558,4.32395,0.1909,0.41578,0.10224,13.80842,0,4.81012,0.04011,20.77032,0.11473,0.69392,3.51361,0,0.12583,0,0.64318,1.37972,0.02424,2.86095,1.29618,0.19673,0,0.02921,0.63721,0.13501,1.59223,0.57433,0,0.25243,1.84412,0.08759,0.79407,0.30908,0.18265,0.01174,0,0,0.41554,0.52063,1.69739,0.41748,1.5566,0.24173,0.05784,0.26307,1.0554,0.49735,0.14407,0.01218,0.03791,4.22182,0,1.55772,0.01266,0.03167,0,0,0,0,2.59564,0,0,0,0.40201,0.09401,0,0.39787,0.1927,0,0.04015,0.09986,5.97229,1.78238
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae",0,0.18775,0.45164,6.79829,1.05369,0,0.48251,6.81121,2.86874,6.18711,0.67427,19.71789,1.11282,0.83577,1.84855,0.62009,9.33524,5.67707,0.98234,3.97184,0,20.70436,0.58527,14.83568,2.34407,0.61727,1.34257,0.59569,2.57966,3.7848,15.33938,15.65076,0.1148,11.61175,11.36774,0.60723,0.2782,1.69366,15.31885,2.55077,2.29434,0.44235,0.07463,9.31671,1.23333,0.4578,0.86833,4.67525,0.44392,3.55728,0.87352,1.44377,0.13458,3.94795,0.3798,15.27434,1.06782,29.70399,11.701,6.69565,0.69498,2.07488,0.59814,1.91699,0,1.06513,1.81038,31.30168,0,0.65277,50.47357,4.41843,0.78728,0.00813,0.03834,0.1135,16.92545,0.41333,6.81606,25.22787,1.5435
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_83",0,1.92949,0,0,0.0353,1.91062,0.00816,0,0,0,2.54085,0,0,0,0,0,0,0,0,0.46391,0,0,0,0,0,0,0,0,0.20182,0,0.02117,0,0,0,0,0.43126,0,0.89775,0,0.21335,1.43975,0,0,0,0,0.22883,0,0,0.5809,0,0,0.14436,0,6.36426,0.12957,0,3.70578,0,0,0,0,0,0,0.64033,0,0,1.73947,0,0,0.05885,0,0,0,3.20222,0,0.15632,0,8.6598,0,0,1.37955
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila",0,0,0,11.77521,18.35395,0.03809,41.07152,0,0,12.96633,19.28675,0.50053,29.40915,0,0,0,0,0.60148,0,11.56851,0,12.20531,0,0,4.19363,0,1.83959,7.10517,0.12331,0,0,0.22438,64.15138,0.02369,0,5.90405,0,3.21088,0,0,19.55452,0,68.409,0,4.89473,0,25.35271,0,0,0,5.06588,0,5.28667,16.79701,0.24262,0.0621,66.98852,0,0,0.22922,0,0,36.29139,0,0,0.08554,0.03578,0.06929,21.10144,0,0,0,15.00604,0,0,31.72071,0.25923,0,1.22855,0,1.37649
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis",7.90558,0.87096,0.0344,0.60402,3.04571,0.72881,0.62254,0,0,0,0,0,0,0.05113,0.04955,0.24945,0,0,0,0,0,0.20436,6.55724,0,0.26532,0.17073,0,7.59281,0.04979,0.02301,0,0.03255,0,0,0,0,2.65009,0,0,0.91287,0.03521,0,0,0,0,0,0,0,0,0.34782,0,0,1.33202,0,0.67408,0.14296,1.11789,0,0,0.18009,1.98262,0,0.76732,5.11172,0,1.78861,2.1054,0,2.84681,0.40902,0,0,0.45833,0,0.62244,0,4.29766,0.11864,0,1.13843,1.23727
