"","MG100208","MG100207","MG100206","MG100205","MG100204","MG100203","MG100202","MG100201","MG100200","MG100199","MG100198","MG100196","MG100195","MG100194","MG100193","MG100192","MG100191","MG100190","MG100189","MG100188","MG100187","MG100186","MG100185","MG100184","MG100182","MG100181","MG100180","MG100179","MG100178","MG100177","MG100176","MG100175","MG100174","MG100173","MG100172","MG100171","MG100170","MG100169","MG100168","MG100167","MG100166","MG100165","MG100164","MG100163","MG100162","MG100161","MG100160","MG100159","MG100158","MG100157","MG100156","MG100155","MG100154","MG100153","MG100152","MG100151","MG100150","MG100149","MG100148","MG100147","MG100146","MG100145","MG100144","MG100143","MG100142","MG100141","MG100140","MG100139","MG100138","MG100137","MG100136","MG100134","MG100133","MG100132","MG100131","MG100130","MG100129","MG100128","MG100127","MG100126","MG100125"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_vestibularis",0,0,0,0,0,0,0,0,0,0,0,0,0.14791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.40737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69969,0,0,0,0,0,0,0,0,0.15583,0,0,0,0,0,0,0,0,0,0,0,0,0.21873
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens",1.8367,0.40297,0,0,0.08325,0.15118,0.04852,1.41244,1.42977,0,0.31988,0.36957,0.4092,0,0,0.52283,0,0,0,0.10761,0,0,0,0,0.34849,1.63306,0.01838,1.68686,0.36203,0,0.19432,0.27346,0,0,0.52776,0.16086,0.19242,0.04795,0,0.04078,0.80176,0.01844,0,0,1.26446,0.18958,0,0,0,0,0.62245,0.50585,0,0.50707,1.14671,0.41214,0.01247,0.11357,0,0,0.73858,0,0.04023,0.02405,0,0.30931,0.0314,0,0,0.65721,0.22183,0,0.24609,0.09332,0,0.04391,0.05776,0.1029,0.29329,0.27684,0.19128
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans",3.7311,0.26619,0.04454,0,1.32548,0,0,0.28743,0,1.36231,0,0,0.44179,0,0.44564,0.21266,0,2.3494,1.09396,0.10532,0,0,0.14177,3.86058,2.13045,0.776,0.39604,1.19212,1.71062,0,0.18041,0.8227,0.39404,0.30185,2.46836,0.37994,1.36553,0.23219,0,1.42605,0.37457,0,0.20754,0,0.12007,0,2.9249,1.73481,0,1.11211,0.91885,1.97083,0.60447,0.63761,0.86359,0,0.17572,1.01892,0.5384,0.04962,0.77892,0,0.49066,0.10406,0,0.31009,0.67719,1.19986,0,0.81238,0.73746,0.76188,1.84225,0.38833,1.28601,0.08336,0,0.76462,1.65317,0.54176,0.18075
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus",3.27124,0,0.04989,0,0.00419,0,0,0,0.93312,0.31429,0,0,0,0,0,0,0,0,0.11857,0,0,0.02893,0.13825,0,0,0,0.01361,0.01177,0,0,0.70469,0,0.08207,0,0,0.42843,0,0.54616,0,0.11154,0.26006,12.17907,0.0614,0,0,0,0.16881,0,1.42733,0.03455,0,0,0,0,0,0.1187,0,0,0,0.1205,0,0,1.15276,0.76178,0,0.17128,0.01603,0,0,0,0,0,1.38527,1.77616,0,0.26505,0.08511,0.34034,0,0,0.13717
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Monoglobus|s__Monoglobus_pectinilyticus",0,0.13885,0,0,0,0.75438,0,0,0,1.72207,0.30947,0,0,0,0.92974,0.18784,0,0,0,0,0,0,0.01481,0,0.93895,1.50454,0,0.20325,4.03755,0.86503,0.24128,0.54104,0.74122,0,0,0.18268,0,0,0,0,1.10984,0,0.54619,0,0,0,1.38343,0,0,0.26271,1.18351,0.16005,0,0,1.13979,0,0,0,0,0,0,0,0.10195,0,0,0.3153,0,0,0,0,0.00356,0,0,0.30164,0.27939,0,0,0.61875,0,0,0.11389
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus",3.12265,0.36403,0,0,0.36767,0.11898,0.07726,1.8021,7.03143,0.02303,0.32979,1.00099,0.73954,0,0.07209,0.6568,0,0,0,0.46552,0,0,0,0,0.60862,1.74056,0.04104,1.77865,0.70279,0,0.24788,0.19574,0,0,0.22924,0.14788,0.62684,0.23412,0,0.00386,1.60641,0.07277,0,0,1.19842,0.23264,0,0,0,0,2.03751,0.13131,0,0.45785,0.95181,0.53267,0.04336,0.30166,0,0.01899,0.97233,0,0.08774,0.12469,0,0.36659,0.04056,0,0,0.80775,0.23723,0,0.2912,0.04931,0,0.09013,0.0369,0.15584,0.80583,0.92218,0.11164
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus",0,0,0,0.00488,0,0,0,0.01103,0.08629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06696,0,0,0,0,0.02188,0,0.01912,0,0,0,0,0.04887,0.07999,0,0,0,0,0,0,0,0.02353,0,0,0,0.02999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0,0.02274,0,0,0,0,0.01747,0,0.1079
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum",0,0,0,0,0,0.18423,0,0,0,0,0.07278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08641,0,0,0.91356,0,0.10512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01041,0.03735,0,0,0.62218,0,0,0.0705,0,0,0,0,0,0.24222,0,0,0.18159,1.11124,0,0,0,0,0,0.01003,0,0,0,0,0.19664,0,0,0.09117
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus",0,0,0,0,0.0854,0,0,0.52393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25396,0,0,0,0,0.03009,0.04311,0,0.01579,0,0,0,0,0,0.1819,0.01473,0,0,0.01521,0,0,0,0,0,0,0,0,0,0,0,0,2.74591,0,0,0,0,0,0,0,0.08958,0,0.05404,0,0,0,0,0,0,0,0.11434,0,0,0,0.03159,0,0,0,0,0.08814
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta",7.21642,0.16323,0,0,0,0,0,0.04384,0,3.10231,0.25925,1.12814,0,1.12033,0,1.84438,6.278,3.48763,0.98746,0.46965,0,4.80247,0,3.32129,0.18175,2.9309,0.1287,0.09395,0.14751,3.11588,0.56868,0.33976,0,0.41411,0.42788,0.01186,0,0,0.69886,0,1.55949,0.07019,0,0,0,1.14917,1.25482,2.61893,1.40255,0.73079,2.27617,1.38826,1.33455,0.43567,0.00731,0.25872,0.37609,0.34065,3.43128,0,0,2.04344,0.10403,0,0,0,0.13165,0,0,0,0.14393,3.95069,0.136,13.86649,1.91791,0,0,0.61978,0,0.22287,0.07602
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens",0,0,0,0,0,0.87885,0,0,0,0.20632,0,0,0,0,0,0,0,0,0,2.3236,0,0,0,0.02444,0,0,0.12628,0.15646,0.07885,0,0,0.18973,0,0,0,0,0,0,0,0.57449,0,0,0,0,0,0,0,0,0,0.12736,0,0,0.46828,0,0,0,0,0,0,0,0,0,0.10677,2.43747,0,0,0,0,0,0,0,0,0.09771,0,0,0,0,0.10821,0,0,0.07193
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis",0,0,0,0.06488,0,0,0,0,0,0,0,0,0.053,0,0,0,0.29069,0,0,0,0,0,0,0,0,0,0.01619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02724,0,0,0.01017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07843,0.04752
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis",0,0,0,0,0.95039,0.17215,0,0,0,0,1.08014,0,0,0,0,1.44364,0,0,0,4.43729,0,0,0.7113,0,0.05204,0.1439,0.02804,0.12276,0,0,0,0,0,0.06102,0,0.26016,0.11441,1.62116,0,0.85912,0.1542,0,0,0,0.1466,0.04623,0,0,4.24224,0.08881,0,0,0,0,0.61825,0.58953,0,0.09164,0,0,0,0,0,3.02849,0,0,1.1652,0,0,0,0,0,0.17404,0.96718,0,0.74714,0.11935,0.53774,0,0,0.03599
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis",0,0,0,0.04501,0,0,0,0,0,0,0,0,0.31137,0,0,0,0.29063,0,0,0,0,0,0,0,0,0,0.01729,0,0,0,0,0,0,0.03082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01719,0,0,0,0,0,0.24893,0.03581
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47",0,0.08843,0,0,0,0,0,0.03181,0,0.16767,0,0.03049,0.01023,0,0,0,0,0,0,0,0,0,0,0.00609,0,0,0.00702,0,0.01351,0,0.0123,0.02024,0,0,0.00672,0,0,0,0,0,0.04501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01367,0,0,0,0,0,0,0.02916,0,0.03325
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus",0,1.33768,0.4629,0.10684,0.48535,1.87654,0,0.06745,0,0,0,0,0,0,0,2.19857,0,0,0.03644,0,0,0,0.7648,0.58229,0,0,0.04564,2.73201,1.43334,0,0,0,0.29367,0,0,0.58794,0.93815,0,0,1.39379,0,0,0.17316,0,1.22401,0,0,0,0,0,2.40534,0,0.71953,1.38021,0.99577,0,0,0,0,0,1.23893,0,0,0.42325,0,0,0.42629,0.48811,0.35838,0.16851,0,0,0,3.29305,0,0,0.86682,0.46117,0.62298,0,0.02293
"k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii",0,0,1.91264,0,2.12088,5.47584,0,0.25334,0,0,0,0,0,0,0,7.58714,0,0,0,1.63169,0,0,4.1816,0,0,3.08407,0.01009,3.23825,0,0,0,0.04154,3.99734,0,0,0,0,1.76247,0,0.35803,0,0,3.63518,0,0,0,0,0,0,0,0,0,0,0,4.88678,0,0,0,0,0.16822,0,0,0,0,0,1.0564,0,0,8.56939,0.40508,0,0,0,0.10064,0,3.61987,0,2.06922,0,2.65387,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26163,0,0.07514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59206,0,0,0,0.72128,0,0,0,0,0,0,1.24509,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bicirculans",0,0.88937,1.14067,0,0,0,0.37187,0,0,0,0.22896,0.00587,0,0,0,0.19347,0,0,0,0.42401,0,0,0,0,1.24907,0,1.48877,0,0.02788,0,0,0,1.53797,0,0,0,0.17624,0.21227,0,0,0.01658,0,0.53456,0,0.87085,0,1.4607,0,0,0,0.2122,0.20832,0,9.12656,2.49867,0,1.75767,0,0,0,0.2471,0,0.04744,4.15446,0,0,0.45158,0,0,0.4029,0,0,0.17431,0,0,0.26902,0,0.4829,0,0.62961,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus",2.29952,1.85254,0.84762,0.25199,0.01634,0,0,0,0,0.95989,0,0.79782,0,0,0,0,0,2.65385,0,0,0,7.12119,0,1.78776,0,0,0,0,0,0.33145,4.0046,0.56013,0,0.01851,0,0,0,0,8.79596,0,0,0,0,0,0,0.42411,0.68401,0.49292,30.31378,0,0,0.25106,0.28452,0,10.93872,1.61341,0.75128,0.63047,1.71304,2.2065,0,10.08419,0.36132,0,0,4.23467,0,0.1368,0.38319,0,0.12852,1.11289,0,0.03177,0.10303,0.52542,0.83713,0.07598,0,0.50083,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans",0,0.06224,0.71899,0.96986,2.20962,0,0,0,0,0,0,0,0,0,0,0,0,0.02922,1.27776,0,0,0,0.04589,0,0,0,0,0.10486,0.44359,1.73548,0,0.0569,0,0,0,0,0.07931,0,0,0.2661,0,0.07253,0,0,0,0.78086,1.7163,0,0,0.00419,0,0,0.83419,0.07552,0.01831,0,0.04351,0.34549,0,0,0.0516,0,1.37029,0.09662,0,1.36269,0.90836,0,0.11483,0.28314,0,0,0,0,0,0.02105,0,0.03668,0.05322,0.2513,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_inops",0,0,0,0,0.16715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76737,0,0,0,0,0,0,0,0.69609,0.38277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55151,0,0,0.07416,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22508,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis",0,0,0,0,0,0,0,0,0,0,0,0,0.12725,0,0,0,0.15663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00475,0,0,0,0,0,0.21175,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus",0,2.51045,0,0,0.01884,0,0,0.98986,13.84617,0,0,0.75171,0,0,0,1.12222,0,3.64876,0.25427,0,0,1.73743,0,0,0,0,0,0,0.28042,0.77165,0.94593,0.37284,0,1.84753,0,0.87402,0,0.58018,0,1.87449,0,0.03759,0,11.94622,0,0,0,0,0,1.42395,0,0,0,0.17609,3.54575,3.32139,0,0,0.12707,0,1.63591,0.65241,0,0,0,0.05267,0,0,0,0,0.05179,0,0,0.10122,0,0.13489,0,0,0.14813,0.16702,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum",0.08065,0,0,0,0.33517,2.32357,0,0,1.97071,0,0,0,0,0,1.28781,2.64011,0,0.02754,0,0,0,0,3.08845,0,0,2.42829,0,0.25794,0.56227,0,0,0.09233,0.10309,0,0,47.48799,0,0,0,0,1.14172,0.0321,0,0,0,0,0,0,0,0.87147,0,0,0,0,0,0,1.61569,0,0,0,0,0,0,0,0,1.47556,0,0,1.27707,0,0,0,0,0,0,0.51162,0,0,0,0.10523,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalitalea|s__Faecalitalea_cylindroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06653,0,0,0,0,0,0,0,0,0,0.47766,0,0,0,0,0,0,0,0,0,0.35709,0,0,0,0,0,0,0.70003,0,0,0,0,0,0,0,0.96686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26472,0,0.04616,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii",0,0,0,0.23213,0,0,0,0,1.34428,0,0,0,0,0,0,0,2.07795,0,0,0,0,0,0,0,0,0,0.12454,0,0,0,0,0,0,0.24736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03923,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_CAG_317",0,0,0,0.12184,0,0,0,0,0,0.57716,1.75238,0,0,0,0,2.88335,0,0.0907,0,0,0,0,0,0,0.90253,0,0,0,0,2.33686,2.71967,0,0.16031,0,0,0,0,0,0.79702,1.85281,0,0.10188,0,0,0.17016,3.35839,5.13019,0,0,0.11423,0,0,0.03722,0.14475,0,0.21733,0.35349,0.08606,0,0,0,2.74772,0,0,0,0.1046,0,0.59028,3.15443,0,1.14859,0,0,0.07592,0,0,0.99639,3.71814,0.06068,0.01128,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis",0,0,0,0,1.23365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19123,0.13443,0.01635,0,0,0,0,0,0.45969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29122,0.70288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.80894,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95646,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas_funiformis",0,0,0,0,0.1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45168,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis",0,0.70901,0.02472,0.36812,0.03417,0.33716,0,0,0.35353,0,0.0154,0,0,0,0,0.30524,0.06246,0,0.81249,0.15556,0,0.33314,0,0,0.04787,0,0,0.00375,0.8991,1.75941,0.03102,0.01102,0,0.06323,0,0,0.59372,0,0,0.22384,0,0,0,0,1.42452,0,0.00762,0.58818,0,0,0.05517,0,0.78152,1.76495,0,0,1.06533,0,0,0,0.49132,0,0.41361,0.11551,0,0.19045,0.66707,0,0,0,0,0,0,0,0.1255,0.02655,0,0.1105,0.31783,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas|s__Megamonas_funiformis_CAG_377",0,0,0,0,0.0195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18778,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_freudenreichii",0,0,0,0,0,0.03163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03334,0.01914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18189,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum",0,0,0.5589,0,2.73112,0,16.12819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15349,0,0,0,0,0,13.19574,0,21.63598,0,2.24959,0,0,0,0,0,0,0,0.02398,0,13.41468,0,6.03216,0,0,0,37.32336,0,1.32595,0,0,0,0,0,0,0,20.73655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40542,2.41739,0,0.19692,0.1295,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_formicilis",0.20311,0,0.30575,0,0.29093,1.61648,0.14405,0.7043,0,0,0,0,0.00586,0.01254,0.06371,0.45228,0,0.19211,0,0,0,0,0.16461,0.03393,0.04033,0,1.74436,0.72187,0.86328,0,0,0.09005,0.02262,0.04429,1.17399,0.02325,0.06554,0,0,0.20267,0.49056,0.03665,0,0,0.79147,0.04911,1.45188,0,0,0,0.46156,0.07235,0.23501,0.26661,0.31487,0,0,0,0,0,0.04465,0,0,0.50218,0,0.09814,0.36547,0,0.24601,0.25722,0,0,0.68261,0.00432,0.07379,0.07259,0,0.05424,0.01993,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_A12",0,0,0,0,0,0,0,0,0.12249,0,0,0,0.02298,0,0,0,0.10447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01152,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens",0,0,0,1.00067,0.22958,0,0,1.86706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03647,0,0,0,1.36597,4.75713,0,0,0,0,0,0,0.03154,0,2.74211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08812,0,0,0,0,0,0,0,0,0.66344,2.27566,0,0,0,0,0,0,0.72402,4.35876,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_disporicum",0,0,0.11783,0,0,0.1115,0,0.13217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24456,0,0.14225,0,0,0,1.11047,0,0,0,0,0,0,0,0,0,0,0.46361,0,0,0,0,0,0,0,0.66313,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruthenibacterium|s__Ruthenibacterium_lactatiformans",2.33795,0.76981,0.36281,3.40884,0.57407,0.07297,0,0,0.07259,0.67593,0.13521,0.01129,0.13637,0.09244,0.57152,0.58429,1.54866,1.14293,1.54503,0.40082,0,0,0.52054,0.38514,0.14365,3.91265,1.29761,0.97474,0.46546,0.1408,0.35517,0.16446,0.67342,0.07495,0.01111,0.11476,0.36158,0.91743,0,0.29799,1.16521,0.35194,0.4547,0,0.05036,3.43795,1.00108,0.69742,3.21398,0.49375,0.17221,0,0.6653,0.27996,0.52594,0,0.19042,0.65839,0,0,0,0.44254,0.59015,0.0959,0,0.21866,0.21405,0,0.29917,0.0307,0.01071,4.05255,0.54306,0.15764,0,1.14948,1.16197,0.49851,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis",0,0,0,0,0,0.20375,0,0,17.44137,0,0,0,0,0,0,0.92991,0,0,0,0.26229,0,0,0,0,0,0,0,0,0,0,0.13341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16477,0,0.02714,0.00478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29852,0,0.30679,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_eutactus",0,0,0,0,0,7.03574,0,0,0,0,0.7206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70477,0,0,0,0,0,0,0,0,0,0,5.11966,0,0,0,0,1.34246,0,0,0,0,0,0,0,0,2.11628,0,0,0,0,0,0,0.07379,0,0,0,0,0,0,0,0,0.38901,0,0,0,0,0,6.30304,0,0.29443,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_167",0,0,0,0,0.06163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0488,0,0.61653,0,0,0,0.03242,0,0,0.29723,0,0,0,0.31181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21365,0,0.1405,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Sellimonas|s__Sellimonas_intestinalis",0,0,0,0.17705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31384,0,0,0,0,0.03434,0,0,0,0,0,0,0.28138,0.38686,0,0,0,0.05597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26798,0,0.00916,0,0,0,0.12628,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_CAG_257",0,1.16125,0,0.01129,0,0,0,0,0.38997,0.56736,0,1.86664,0,0,0,0,8.93358,0.72395,0,0,0,36.21981,0,0,0.14333,0,0,0,0,1.25627,0.26265,0.04478,0,0.14782,0,0,0,0.16829,0.74886,0,0,0,0,0,0,0,0,3.89742,0.1418,0,0,0,0,0,0,0.98485,0.43957,2.67834,1.03388,0,0,51.5315,0.15828,0,0,0.08009,0,0.69416,0.12348,0,0.26933,0.27766,0,0.80804,0.04221,0,2.08483,0.10733,0,0,0
