"","MG100208","MG100207","MG100206","MG100205","MG100204","MG100203","MG100202","MG100201","MG100200","MG100199","MG100198","MG100196","MG100195","MG100194","MG100193","MG100192","MG100191","MG100190","MG100189","MG100188","MG100187","MG100186","MG100185","MG100184","MG100182","MG100181","MG100180","MG100179","MG100178","MG100177","MG100176","MG100175","MG100174","MG100173","MG100172","MG100171","MG100170","MG100169","MG100168","MG100167","MG100166","MG100165","MG100164","MG100163","MG100162","MG100161","MG100160","MG100159","MG100158","MG100157","MG100156","MG100155","MG100154","MG100153","MG100152","MG100151","MG100150","MG100149","MG100148","MG100147","MG100146","MG100145","MG100144","MG100143","MG100142","MG100141","MG100140","MG100139","MG100138","MG100137","MG100136","MG100134","MG100133","MG100132","MG100131","MG100130","MG100129","MG100128","MG100127","MG100126","MG100125"
"Acidaminococcaceae",0,0,0.09557,0,0,0.18938,0,0.07987,0,0.02029,0,0,0,0,0,0,0,0,0,0,0,0,0.84243,0,0,0,0,0,0,0,0,0,0.0646,0,0,0.19679,0.07367,0,0,0,0,0,0,0,0,1.06653,0.75987,0,0.00641,0,0,0,0,0,0,0,0.04004,0,0,0,0,0,0.44213,2.31851,0,0.03634,0,0,0,0,0,0.03691,0,0,0,0.26971,0.66877,0.06822,0,0,0
"Selenomonadaceae",0,0,0,0,0.1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63946,0,0
"Veillonellaceae",0.30164,0,0.00464,0,0,0,0.34367,0,0,0,0,0.45969,0,0,0.85508,0,0,0,0.62344,0,0,0,0,0,0,5.52242,0.02278,0,0,0.31267,0,0,0,0,0,0,0,0,0.01295,0,0,0.87825,0,0,0.59793,0.0612,0,0,0,0,0,0,2.30891,1.16179,0,0.0209,0,0,0.06288,0,0,0,0,0,0,0.59698,0.03744,0,0,0,0,0,0.07864,0.03236,0,0,0,0,0,0,0
"Peptoniphilaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02451,0,0,0,0,0,0,0,0,0
"Fusobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911,0,0,0,1.13367,0,0,0,0,0,0,0,0,0,0,0
"Comamonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxalobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sutterellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00778,0,0,0,0,0,0,0,0,0,0,0,0,0.38109,0,0,0,0,0.0708,0,0,0,0,0,0.15248,0,0,0,0,0,0,0,0,0,0.15809,0.04639,0,0,0.20757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrionaceae",0,0,0.07327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40905,0,0,0,0
"Enterobacteriaceae",0.48754,0,0,0.32287,0.26566,0.10079,0,0.05105,0,0,0,0.65957,21.21646,90.11018,0.70654,2.91523,0,0.20375,0,0.45667,0,0,2.19425,0,0,45.39864,0.61072,0.04274,0,0.24739,0.07723,0,0.28172,6.01613,0,0,0,0,4.94441,0,0.80404,0,0,4.01796,0,5.00747,0,0,4.29989,0,0,0,0,0,0,0,0,0.6021,12.46919,19.02176,0,2.07658,0,0,0,37.46977,0,16.70796,0,41.73247,0,5.46657,1.10887,0.00831,0,1.95129,0,0,0,0,0
"Hafniaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02444,0,0,0,0,0
"Pasteurellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0.17103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonadaceae",0,0,0,0,0,0,0.18822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown",0.37455,2.01321,1.72526,0.06488,0.46415,14.87522,0.15221,0.7043,0,1.06718,2.68702,0.3872,0.05886,0.01254,0.06371,0.45228,0.29069,1.67637,0,0.46391,0,0,0.16461,0.04547,1.54062,1.65694,1.76973,0.72187,3.15332,0.35895,0.91593,0.09005,0.31101,0.04429,1.17399,0.64611,0.14017,0.89775,0,0.89872,2.45034,1.44112,0.1529,0,0.79147,0.3766,2.00776,0,0.5809,0,0.46156,0.21671,0.23501,6.88697,0.44444,1.25471,3.70578,0.75732,0.02724,0.32244,0.04465,4.56574,0.19989,1.17122,0,0.22713,2.46203,0,0.24601,0.31607,0.00364,2.08303,1.17247,11.25251,0.07379,1.34453,0.12903,8.71404,0.01993,0.07843,1.42707
"Akkermansiaceae",0,0,0,11.77521,18.35395,0.03809,41.07152,0,0,12.96633,19.28675,0.50053,29.40915,0,0,0,0,0.60148,0,11.56851,0,12.20531,0,0,4.19363,0,1.83959,7.10517,0.12331,0,0,0.22438,64.15138,0.02369,0,5.90405,0,3.21088,0,0,19.55452,0,68.409,0,4.89473,0,25.35271,0,0,0,5.06588,0,5.28667,16.79701,0.24262,0.0621,66.98852,0,0,0.22922,0,0,36.29139,0,0,0.08554,0.03578,0.06929,21.10144,0,0,0,15.00604,0,0,31.72071,0.25923,0,1.22855,0,1.37649
