"","MG100208","MG100207","MG100206","MG100205","MG100204","MG100203","MG100202","MG100201","MG100200","MG100199","MG100198","MG100196","MG100195","MG100194","MG100193","MG100192","MG100191","MG100190","MG100189","MG100188","MG100187","MG100186","MG100185","MG100184","MG100182","MG100181","MG100180","MG100179","MG100178","MG100177","MG100176","MG100175","MG100174","MG100173","MG100172","MG100171","MG100170","MG100169","MG100168","MG100167","MG100166","MG100165","MG100164","MG100163","MG100162","MG100161","MG100160","MG100159","MG100158","MG100157","MG100156","MG100155","MG100154","MG100153","MG100152","MG100151","MG100150","MG100149","MG100148","MG100147","MG100146","MG100145","MG100144","MG100143","MG100142","MG100141","MG100140","MG100139","MG100138","MG100137","MG100136","MG100134","MG100133","MG100132","MG100131","MG100130","MG100129","MG100128","MG100127","MG100126","MG100125"
"Actinobacteria",15.56403,23.01223,57.14173,22.93725,20.41544,16.04139,22.36347,26.58398,13.0945,10.17037,14.84584,37.57778,12.02291,1.22526,21.8511,3.80578,7.88561,4.52318,27.16333,4.79669,100,5.33314,7.30741,36.76658,26.07259,7.87811,15.11088,15.20282,37.73708,17.33282,9.61572,52.16889,3.62955,19.61919,7.6268,2.03296,15.57804,54.23017,58.87994,15.76626,5.59682,0.25242,3.33886,36.83713,50.45139,45.56501,11.65396,3.1185,2.30139,64.45865,19.9073,31.4749,4.03537,1.4219,21.34963,21.40902,0.99178,28.12223,33.74943,35.9713,32.7828,4.8594,2.0233,13.59331,0,3.9673,7.63327,5.18036,0.66344,23.89578,8.42647,10.93295,30.59296,32.90242,63.37854,6.33272,24.45885,55.9121,20.92626,9.16942,12.05023
"Bacteroidetes",7.10134,0.0484,0.16561,1.28975,3.5353,1.27015,1.89787,5.9227,26.30885,1.43312,8.90468,0,0,0,1.0435,2.77896,0,0.8478,1.10791,8.03366,0,0.02893,32.15239,0.00597,0.33565,3.49787,0.51825,8.56507,8.75144,0.45345,10.82542,0.033,1.76906,0.30447,0.10291,8.1177,11.51952,10.47653,0.20565,5.22502,4.17025,74.86935,0.73692,0,0.87949,5.98414,3.61463,0.84934,17.84361,0.48423,0.00732,0,0.02393,4.95766,1.39926,0.84781,0.33901,0.09164,0.34262,0.15423,0.53845,3.25413,2.0803,13.02868,0,0.83973,8.22152,0,2.93842,0.15194,0,10.75926,6.6173,31.57109,0,6.35151,3.09039,1.86303,0,1.47017,0.78345
"Euryarchaeota",0,0,1.91264,0,2.12088,5.47584,0,0.43448,0,0,0,0,0,0,0,7.58714,0,0,0,1.63169,0,0,4.1816,0,0,3.08407,0.01009,3.23825,0,0,0,0.04154,3.99734,0,0,0,0,1.76247,0,0.35803,0,0,3.63518,0,0,0,0,0,0,0,0,0,0,0,4.88678,0,0,0,0,0.16822,0,0,0,0,0,1.0564,0,0,8.56939,0.40508,0,0,0,0.10064,0,3.61987,0,2.06922,0,2.65387,0
"Firmicutes",72.69052,76.84129,39.9583,63.55539,55.25428,75.47078,34.47891,66.96679,60.59666,75.40024,56.95411,61.26212,37.14922,8.66456,76.38489,82.49993,92.1144,93.8238,71.58621,73.02728,0,82.43264,54.16436,63.18095,69.09228,40.14129,81.85832,65.829,51.56948,81.96636,79.47436,47.45748,26.15589,73.99619,92.12165,83.93026,72.82965,29.98261,35.97003,78.58128,69.87436,23.24971,23.88008,59.14493,43.63541,43.15104,59.21696,96.03219,75.53943,35.01434,75.01949,68.42126,90.46993,76.82343,72.01601,77.6236,31.50267,71.18401,53.43877,44.19226,66.48288,89.80988,59.43227,73.24997,100,56.41171,83.89587,78.04236,66.72729,32.65873,91.55164,72.82735,46.58464,35.35371,36.61028,49.99945,71.72618,39.78448,77.79683,86.70654,85.77864
"Fusobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911,0,0,0,1.13367,0,0,0,0,0,0,0,0,0,0,0
"Proteobacteria",0.48754,0,0.07327,0.32287,0.26566,0.10079,0.18822,0.05105,0,0,0,0.65957,21.38749,90.11018,0.70654,2.91523,0,0.20375,0,0.94218,0,0,2.19425,0,0,45.39864,0.61751,0.04274,1.49314,0.24739,0.07723,0,0.28172,6.01613,0,0.00362,0.05542,0,4.94441,0,0.80404,1.62851,0,4.01796,0,5.10613,0.0708,0,4.29989,0,0,0,0.18411,0,0,0,0,0.6021,12.46919,19.02176,0,2.07658,0.17272,0.12087,0,37.46977,0.20757,16.70796,0,41.73247,0,5.46657,1.10887,0.00831,0,1.97573,0.40905,0,0,0,0
"Verrucomicrobia",0,0,0,11.77521,18.35395,0.03809,41.07152,0,0,12.96633,19.28675,0.50053,29.40915,0,0,0,0,0.60148,0,11.56851,0,12.20531,0,0,4.19363,0,1.83959,7.10517,0.12331,0,0,0.22438,64.15138,0.02369,0,5.90405,0,3.21088,0,0,19.55452,0,68.409,0,4.89473,0,25.35271,0,0,0,5.06588,0,5.28667,16.79701,0.24262,0.0621,66.98852,0,0,0.22922,0,0,36.29139,0,0,0.08554,0.03578,0.06929,21.10144,0,0,0,15.00604,0,0,31.72071,0.25923,0,1.22855,0,1.37649
